정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,427031263.75
,교직원보수,305978758.125
,기타 교직원 보수,68538280.625
,교직원 복지 및 역량강화,52514225.0
학생복지/교육격차 해소,학생복지/교육격차 해소,663806439.375
,급식 관리,495129859.375
,기숙사 관리,0.0
,보건관리,74419726.25
,교육격차 해소,4052806.875
,학생복지,90204046.875
기본적 교육활동,기본적 교육활동,222624728.75
,교과 활동,190834158.125
,창의적 체험활동,25040843.125
,자유학기(년) 활동,6749727.5
선택적 교육활동,선택적 교육활동,163735650.625
,방과후학교 운영,85874583.75
,직업교육,0.0
,국제교육,0.0
,독서활동,25800154.375
,교기육성,45103937.5
,기타 선택적 교육활동,6956975.0
교육활동 지원,교육활동 지원,211545997.5
,교무업무 운영,24401033.75
,생활지도 운영,18317528.75
,연구학교 운영,3062165.625
,학습지원실 운영,26746105.625
,교육여건 개선,139019163.75
학교 일반운영,학교 일반운영,319501569.5625
,학교기관운영,106604160.1875
,시설 장비 유지,211340725.625
,학교운영 협력,1556683.75
학교시설 확충,학교시설 확충,221615791.25
,시설확충 및 개선,221615791.25
학교 재무활동,학교 재무활동,7630663.75
,반환금,7630663.75
,예비비,0.0
세출합계,세출합계,2237492104.5625
