정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,1369633103.625
,교직원보수,930295871.25
,기타 교직원 보수,344749143.75
,교직원 복지 및 역량강화,94588088.625
학생복지/교육격차 해소,학생복지/교육격차 해소,1211480978.0
,급식 관리,841382754.375
,기숙사 관리,174255113.75
,보건관리,87850076.125
,교육격차 해소,14594342.5
,학생복지,93398691.25
기본적 교육활동,기본적 교육활동,398736988.25
,교과 활동,249054208.625
,창의적 체험활동,144497512.125
,자유학기(년) 활동,5185267.5
선택적 교육활동,선택적 교육활동,345212229.5
,방과후학교 운영,224834565.0
,직업교육,0.0
,국제교육,12784561.5
,독서활동,46567231.625
,교기육성,28879787.5
,기타 선택적 교육활동,32146083.875
교육활동 지원,교육활동 지원,517463399.0
,교무업무 운영,87999788.5
,생활지도 운영,61216000.0
,연구학교 운영,15274032.5
,학습지원실 운영,59591268.0
,교육여건 개선,293382310.0
학교 일반운영,학교 일반운영,644611490.75
,학교기관운영,156254708.0
,시설 장비 유지,485613461.5
,학교운영 협력,2743321.25
학교시설 확충,학교시설 확충,63745537.5
,시설확충 및 개선,63745537.5
학교 재무활동,학교 재무활동,5098287.5
,반환금,5098287.5
,예비비,0.0
세출합계,세출합계,4555982014.125
