정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,8616116.666666666
,교직원보수,0.0
,기타 교직원 보수,2500000.0
,교직원 복지 및 역량강화,6116116.666666667
학생복지/교육격차 해소,학생복지/교육격차 해소,1174474506.6666667
,급식 관리,1025647660.0
,기숙사 관리,0.0
,보건관리,62877376.666666664
,교육격차 해소,3446666.6666666665
,학생복지,82502803.33333333
기본적 교육활동,기본적 교육활동,552351545.3333334
,교과 활동,394375428.6666667
,창의적 체험활동,148923286.66666666
,자유학기(년) 활동,9052830.0
선택적 교육활동,선택적 교육활동,588478223.3333334
,방과후학교 운영,429620166.6666667
,직업교육,0.0
,국제교육,0.0
,독서활동,55406333.333333336
,교기육성,66961153.333333336
,기타 선택적 교육활동,36490570.0
교육활동 지원,교육활동 지원,279874887.0
,교무업무 운영,77525013.33333333
,생활지도 운영,41150050.0
,연구학교 운영,16602563.666666666
,학습지원실 운영,47372136.666666664
,교육여건 개선,97225123.33333333
학교 일반운영,학교 일반운영,334280493.6666667
,학교기관운영,124469014.0
,시설 장비 유지,203852996.33333334
,학교운영 협력,5958483.333333333
학교시설 확충,학교시설 확충,2000000.0
,시설확충 및 개선,2000000.0
학교 재무활동,학교 재무활동,649130.0
,반환금,649130.0
,예비비,0.0
세출합계,세출합계,2940724902.6666665
