정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,358499687.5
,교직원보수,286907000.0
,기타 교직원 보수,64436687.5
,교직원 복지 및 역량강화,7156000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,580478187.5
,급식 관리,532965625.0
,기숙사 관리,0.0
,보건관리,35545125.0
,교육격차 해소,0.0
,학생복지,11967437.5
기본적 교육활동,기본적 교육활동,163406937.5
,교과 활동,87531437.5
,창의적 체험활동,74358875.0
,자유학기(년) 활동,1516625.0
선택적 교육활동,선택적 교육활동,155014687.5
,방과후학교 운영,101766312.5
,직업교육,0.0
,국제교육,0.0
,독서활동,20891625.0
,교기육성,32303000.0
,기타 선택적 교육활동,53750.0
교육활동 지원,교육활동 지원,59570562.5
,교무업무 운영,15191187.5
,생활지도 운영,5436125.0
,연구학교 운영,1943750.0
,학습지원실 운영,25606875.0
,교육여건 개선,11392625.0
학교 일반운영,학교 일반운영,284799625.0
,학교기관운영,68052000.0
,시설 장비 유지,212987312.5
,학교운영 협력,3760312.5
학교시설 확충,학교시설 확충,1343750.0
,시설확충 및 개선,1343750.0
학교 재무활동,학교 재무활동,444750.0
,반환금,438437.5
,예비비,6312.5
세출합계,세출합계,1603558187.5
