정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,32384200.0
,교직원보수,0.0
,기타 교직원 보수,28880000.0
,교직원 복지 및 역량강화,3504200.0
학생복지/교육격차 해소,학생복지/교육격차 해소,593931400.0
,급식 관리,487638800.0
,기숙사 관리,30997800.0
,보건관리,25711400.0
,교육격차 해소,1620000.0
,학생복지,47963400.0
기본적 교육활동,기본적 교육활동,154495400.0
,교과 활동,73540200.0
,창의적 체험활동,80955200.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,150846800.0
,방과후학교 운영,98188800.0
,직업교육,0.0
,국제교육,0.0
,독서활동,21877000.0
,교기육성,30647000.0
,기타 선택적 교육활동,134000.0
교육활동 지원,교육활동 지원,80163800.0
,교무업무 운영,52823600.0
,생활지도 운영,15342200.0
,연구학교 운영,0.0
,학습지원실 운영,10978000.0
,교육여건 개선,1020000.0
학교 일반운영,학교 일반운영,229335400.0
,학교기관운영,71758600.0
,시설 장비 유지,155138800.0
,학교운영 협력,2438000.0
학교시설 확충,학교시설 확충,400000.0
,시설확충 및 개선,400000.0
학교 재무활동,학교 재무활동,2800000.0
,반환금,0.0
,예비비,2800000.0
세출합계,세출합계,1244357000.0
