정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,30492515.0
,교직원보수,0.0
,기타 교직원 보수,22523380.0
,교직원 복지 및 역량강화,7969135.0
학생복지/교육격차 해소,학생복지/교육격차 해소,228066810.0
,급식 관리,153844990.0
,기숙사 관리,0.0
,보건관리,25871975.0
,교육격차 해소,3426875.0
,학생복지,44922970.0
기본적 교육활동,기본적 교육활동,186115622.5
,교과 활동,102078660.0
,창의적 체험활동,84036962.5
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,233546740.0
,방과후학교 운영,125771917.5
,직업교육,0.0
,국제교육,0.0
,독서활동,13648977.5
,교기육성,60966362.5
,기타 선택적 교육활동,33159482.5
교육활동 지원,교육활동 지원,169661282.5
,교무업무 운영,25170732.5
,생활지도 운영,15217972.5
,연구학교 운영,12995552.5
,학습지원실 운영,9005067.5
,교육여건 개선,107271957.5
학교 일반운영,학교 일반운영,163371302.5
,학교기관운영,71967170.0
,시설 장비 유지,86213685.0
,학교운영 협력,5190447.5
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,11584222.5
,반환금,11584222.5
,예비비,0.0
세출합계,세출합계,1022838495.0
