정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,64251784.0
,교직원보수,0.0
,기타 교직원 보수,46890270.0
,교직원 복지 및 역량강화,17361514.0
학생복지/교육격차 해소,학생복지/교육격차 해소,410209230.0
,급식 관리,307276630.0
,기숙사 관리,0.0
,보건관리,49973790.0
,교육격차 해소,0.0
,학생복지,52958810.0
기본적 교육활동,기본적 교육활동,206226150.0
,교과 활동,171426116.0
,창의적 체험활동,34800034.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,302155246.0
,방과후학교 운영,271192650.0
,직업교육,0.0
,국제교육,0.0
,독서활동,12202600.0
,교기육성,18759996.0
,기타 선택적 교육활동,0.0
교육활동 지원,교육활동 지원,158762948.0
,교무업무 운영,60367525.0
,생활지도 운영,14298167.0
,연구학교 운영,46808546.0
,학습지원실 운영,17362210.0
,교육여건 개선,19926500.0
학교 일반운영,학교 일반운영,315375262.0
,학교기관운영,176177394.0
,시설 장비 유지,132806108.0
,학교운영 협력,6391760.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,20570.0
,반환금,20570.0
,예비비,0.0
세출합계,세출합계,1457001190.0
