정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,29421850.0
,교직원보수,0.0
,기타 교직원 보수,16384720.0
,교직원 복지 및 역량강화,13037130.0
학생복지/교육격차 해소,학생복지/교육격차 해소,357510710.0
,급식 관리,261194780.0
,기숙사 관리,0.0
,보건관리,32676690.0
,교육격차 해소,4996000.0
,학생복지,58643240.0
기본적 교육활동,기본적 교육활동,319469290.0
,교과 활동,260921320.0
,창의적 체험활동,58547970.0
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,191347490.0
,방과후학교 운영,155872800.0
,직업교육,0.0
,국제교육,0.0
,독서활동,25062940.0
,교기육성,0.0
,기타 선택적 교육활동,10411750.0
교육활동 지원,교육활동 지원,228878460.0
,교무업무 운영,8313870.0
,생활지도 운영,23134390.0
,연구학교 운영,60487290.0
,학습지원실 운영,26034210.0
,교육여건 개선,110908700.0
학교 일반운영,학교 일반운영,231355820.0
,학교기관운영,42654680.0
,시설 장비 유지,178976120.0
,학교운영 협력,9725020.0
학교시설 확충,학교시설 확충,64602000.0
,시설확충 및 개선,64602000.0
학교 재무활동,학교 재무활동,0.0
,반환금,0.0
,예비비,0.0
세출합계,세출합계,1422585620.0
