정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,265654718.75
,교직원보수,189092171.875
,기타 교직원 보수,59346500.0
,교직원 복지 및 역량강화,17216046.875
학생복지/교육격차 해소,학생복지/교육격차 해소,422299281.25
,급식 관리,344595890.625
,기숙사 관리,25100843.75
,보건관리,29398546.875
,교육격차 해소,901171.875
,학생복지,22302828.125
기본적 교육활동,기본적 교육활동,143896953.125
,교과 활동,80611140.625
,창의적 체험활동,61407015.625
,자유학기(년) 활동,1878796.875
선택적 교육활동,선택적 교육활동,136871671.875
,방과후학교 운영,93645921.875
,직업교육,0.0
,국제교육,0.0
,독서활동,19708109.375
,교기육성,19297203.125
,기타 선택적 교육활동,4220437.5
교육활동 지원,교육활동 지원,81770687.5
,교무업무 운영,25461718.75
,생활지도 운영,13867578.125
,연구학교 운영,3843437.5
,학습지원실 운영,19192500.0
,교육여건 개선,19405453.125
학교 일반운영,학교 일반운영,238336203.125
,학교기관운영,63564406.25
,시설 장비 유지,171098515.625
,학교운영 협력,3673281.25
학교시설 확충,학교시설 확충,585937.5
,시설확충 및 개선,585937.5
학교 재무활동,학교 재무활동,1068421.875
,반환금,205765.625
,예비비,862656.25
세출합계,세출합계,1290483875.0
