정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,49878333.333333336
,교직원보수,0.0
,기타 교직원 보수,35613333.333333336
,교직원 복지 및 역량강화,14265000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,527542000.0
,급식 관리,488086000.0
,기숙사 관리,0.0
,보건관리,38522666.666666664
,교육격차 해소,183333.33333333334
,학생복지,750000.0
기본적 교육활동,기본적 교육활동,205071000.0
,교과 활동,162717333.33333334
,창의적 체험활동,42353666.666666664
,자유학기(년) 활동,0.0
선택적 교육활동,선택적 교육활동,373809000.0
,방과후학교 운영,301070333.3333333
,직업교육,0.0
,국제교육,0.0
,독서활동,14484000.0
,교기육성,57431333.333333336
,기타 선택적 교육활동,823333.3333333334
교육활동 지원,교육활동 지원,118668333.33333333
,교무업무 운영,52601000.0
,생활지도 운영,20346666.666666668
,연구학교 운영,2333333.3333333335
,학습지원실 운영,19448333.333333332
,교육여건 개선,23939000.0
학교 일반운영,학교 일반운영,192516000.0
,학교기관운영,75692333.33333333
,시설 장비 유지,111700333.33333333
,학교운영 협력,5123333.333333333
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,5600000.0
,반환금,0.0
,예비비,5600000.0
세출합계,세출합계,1473084666.6666667
