과목,과목.1,과목.2,과목.3,평균금액
장,관,항,목,
이전수입,이전수입,이전수입,이전수입,2605136913.3333335
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0.0
,,국고보조금,국고보조금,0.0
,,,국고보조금,0.0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,56298603.333333336
,,비법정이전수입,비법정이전수입,0.0
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,0.0
,,교육경비보조금,교육경비보조금,56298603.333333336
,,,광역지방자치단체전입금,0.0
,,,기초지방자치단체전입금,56298603.333333336
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,2540864976.6666665
,,교육비특별회계전입금수입,교육비특별회계전입금수입,2540864976.6666665
,,,교육비특별회계전입금,2540864976.6666665
,,기금회계전입금수입,기금회계전입금수입,0.0
,,,기금회계전입금,0.0
,기타이전수입,기타이전수입,기타이전수입,7973333.333333333
,,학교회계간이전수입,학교회계간이전수입,3800000.0
,,,학교발전기금전입금,3800000.0
,,,다른학교회계전입금,0.0
,,,기타학교회계전입금,0.0
,,기타공공이전수입,기타공공이전수입,4173333.3333333335
,,,기타공공지원금,4173333.3333333335
자체수입,자체수입,자체수입,자체수입,278942878.0
,학부모부담수입,학부모부담수입,학부모부담수입,272757406.6666667
,,등록금,등록금,0.0
,,,학교운영지원비,0.0
,,수익자부담수입,수익자부담수입,272757406.6666667
,,,급식비,43937163.333333336
,,,방과후학교활동비,163988143.33333334
,,,현장체험학습비,2012000.0
,,,청소년단체활동비,866333.3333333334
,,,졸업앨범비,10675050.0
,,,교과서비,0.0
,,,기숙사비,0.0
,,,기타수익자부담수입,0.0
,,,누리과정비,0.0
,,,교복구입비,0.0
,,,운동부운영비,44419913.333333336
,,,돌봄활동운영비,6858803.333333333
,행정활동수입,행정활동수입,행정활동수입,6185471.333333333
,,사용료및수수료,사용료및수수료,640000.0
,,,사용료및수수료,640000.0
,,자산수입,자산수입,1266013.3333333333
,,,자산매각대,1266013.3333333333
,,적립금처분수입,적립금처분수입,0.0
,,,적립금처분수입,0.0
,,보증금회수,보증금회수,0.0
,,,보증금회수,0.0
,,기타행정활동수입,기타행정활동수입,4279458.0
,,,지난년도수입,0.0
,,,이자수입,1492119.0
,,,기타행정활동수입,2787339.0
기타수입,기타수입,기타수입,기타수입,25073335.333333332
,전년도이월금,전년도이월금,전년도이월금,25073335.333333332
,,순세계잉여금,순세계잉여금,22254002.0
,,,순세계잉여금,22254002.0
,,정산대상재원사용잔액,정산대상재원사용잔액,0.0
,,,정산대상재원사용잔액,0.0
,,이월금,이월금,2819333.3333333335
,,,이월사업비,2819333.3333333335
세입합계,세입합계,세입합계,세입합계,2909153126.6666665
