정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,280070031.25
,교직원보수,194026531.25
,기타 교직원 보수,60380234.375
,교직원 복지 및 역량강화,25663265.625
학생복지/교육격차 해소,학생복지/교육격차 해소,379901687.5
,급식 관리,300798171.875
,기숙사 관리,23093578.125
,보건관리,32157953.125
,교육격차 해소,712765.625
,학생복지,23139218.75
기본적 교육활동,기본적 교육활동,114087453.125
,교과 활동,61037750.0
,창의적 체험활동,51578609.375
,자유학기(년) 활동,1471093.75
선택적 교육활동,선택적 교육활동,142877031.25
,방과후학교 운영,97239078.125
,직업교육,0.0
,국제교육,339062.5
,독서활동,17528796.875
,교기육성,23379984.375
,기타 선택적 교육활동,4390109.375
교육활동 지원,교육활동 지원,75059234.375
,교무업무 운영,33109515.625
,생활지도 운영,11271812.5
,연구학교 운영,4534218.75
,학습지원실 운영,18117234.375
,교육여건 개선,8026453.125
학교 일반운영,학교 일반운영,225649765.625
,학교기관운영,80162187.5
,시설 장비 유지,142260828.125
,학교운영 협력,3226750.0
학교시설 확충,학교시설 확충,2515625.0
,시설확충 및 개선,2515625.0
학교 재무활동,학교 재무활동,1700718.75
,반환금,441718.75
,예비비,1259000.0
세출합계,세출합계,1221861546.875
