정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,9323500.0
,교직원보수,0.0
,기타 교직원 보수,174500.0
,교직원 복지 및 역량강화,9149000.0
학생복지/교육격차 해소,학생복지/교육격차 해소,255185250.0
,급식 관리,190757250.0
,기숙사 관리,0.0
,보건관리,28269500.0
,교육격차 해소,0.0
,학생복지,36158500.0
기본적 교육활동,기본적 교육활동,105398000.0
,교과 활동,40537500.0
,창의적 체험활동,62360500.0
,자유학기(년) 활동,2500000.0
선택적 교육활동,선택적 교육활동,128668750.0
,방과후학교 운영,71325000.0
,직업교육,0.0
,국제교육,0.0
,독서활동,11105250.0
,교기육성,44088500.0
,기타 선택적 교육활동,2150000.0
교육활동 지원,교육활동 지원,44503250.0
,교무업무 운영,8584750.0
,생활지도 운영,12542500.0
,연구학교 운영,3125000.0
,학습지원실 운영,8521000.0
,교육여건 개선,11730000.0
학교 일반운영,학교 일반운영,164087750.0
,학교기관운영,70223500.0
,시설 장비 유지,91264250.0
,학교운영 협력,2600000.0
학교시설 확충,학교시설 확충,0.0
,시설확충 및 개선,0.0
학교 재무활동,학교 재무활동,1846750.0
,반환금,0.0
,예비비,1846750.0
세출합계,세출합계,709013250.0
