정책단위사업,정책단위사업.1,평균금액
정책사업,단위사업,
인적자원 운용,인적자원 운용,292807867.765625
,교직원보수,193174674.375
,기타 교직원 보수,72686071.40625
,교직원 복지 및 역량강화,26947121.984375
학생복지/교육격차 해소,학생복지/교육격차 해소,545146715.890625
,급식 관리,385382177.46875
,기숙사 관리,18343939.0625
,보건관리,59295052.890625
,교육격차 해소,8551825.78125
,학생복지,73573720.6875
기본적 교육활동,기본적 교육활동,208018888.75
,교과 활동,167056200.296875
,창의적 체험활동,36909094.390625
,자유학기(년) 활동,4053594.0625
선택적 교육활동,선택적 교육활동,211298169.625
,방과후학교 운영,126739567.953125
,직업교육,0.0
,국제교육,97663.28125
,독서활동,27879016.453125
,교기육성,39554448.6875
,기타 선택적 교육활동,17027473.25
교육활동 지원,교육활동 지원,253499862.984375
,교무업무 운영,37524042.25
,생활지도 운영,26803555.546875
,연구학교 운영,13739879.328125
,학습지원실 운영,26661774.59375
,교육여건 개선,148770611.265625
학교 일반운영,학교 일반운영,261953527.9375
,학교기관운영,81469102.015625
,시설 장비 유지,178133065.296875
,학교운영 협력,2351360.625
학교시설 확충,학교시설 확충,76704710.359375
,시설확충 및 개선,76704710.359375
학교 재무활동,학교 재무활동,7361420.78125
,반환금,7361420.78125
,예비비,0.0
세출합계,세출합계,1856791164.09375
