SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
중,공립,3,충청남도 계룡시,3.0,충청남도논산계룡교육지원청,충청남도교육청,N100000058,8779000,N,0,미지정,결산세출,341055710,268729940,151492480,280986830,560777270,S120000434,98740590,3098843.9,N100000001,13,N,엄사중학교,
,공립,3,충청남도 논산시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,0,N,0,복식부기,결산세출,227352080,70292290,184285440,273972240,191406500,S120000437,17758000,6307624.5,N100000001,13,N,연무중학교,
중,공립,3,충청남도 논산시,3.0,충청남도논산계룡교육지원청,충청남도교육청,N100000058,0,N,0,미지정,결산세출,194671920,191803590,120169880,218563310,135260010,S120000438,36808160,7604041.3,N100000001,13,N,연산중학교,
,공립,3,충청남도 계룡시,,충청남도논산계룡교육지원청,충청남도교육청,N100000058,0,N,0,복식부기,결산세출,334532120,497223450,154156450,381693380,611768060,S120000439,73679690,3163410.1,N100000001,13,N,용남중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,114314000,미지정,결산세출,294749240,165331600,159186890,199703850,309911510,S120000506,72500790,4600342.2,N100000001,13,N,부여여자중학교,
중,공립,3,충청남도 부여군,3.0,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,0,미지정,결산세출,263922800,109934230,406137010,338452370,372099750,S120000507,62031940,5024524.6,N100000001,13,N,부여중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,0,미지정,결산세출,207499660,50952700,29909800,99824310,162890350,S120000508,19442260,9836535.9,N100000001,13,N,석성중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,0,미지정,결산세출,116873040,280229680,27307290,62650160,121658400,S120000509,10376990,26917198.3,N100000001,13,N,세도중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,2520000,복식부기,결산세출,128707330,75222590,88938650,44046250,44679180,S120000510,6955330,30082256.2,N100000001,13,N,양화중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,0,미지정,결산세출,147697560,75045340,61277380,86295690,74795880,S120000513,13868120,9562082.7,N100000001,13,N,은산중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,0,복식부기,결산세출,144010220,103774080,25809510,113302190,72447250,S120000514,2070460,16479061.1,N100000001,13,N,임천중학교,
,공립,3,충청남도 부여군,,충청남도부여교육지원청,충청남도교육청,N100000062,0,N,0,복식부기,결산세출,159544180,43411320,82035030,171091960,81354370,S120000516,18260970,8419664.1,N100000001,13,N,홍산중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,복식부기,결산세출,146817730,57957710,12692420,76115420,198458180,S120000579,2855880,20620722.5,N100000001,13,N,도고중학교,
,공립,3,충청남도 아산시,,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,미지정,결산세출,110345850,111779910,7218270,80408220,46846150,S120000582,8112020,18235521.0,N100000001,13,N,선도중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,미지정,결산세출,204602600,1882960460,70897630,214948700,277284180,S120000583,31025800,15682569.4,N100000001,13,N,송남중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,복식부기,결산세출,183929010,140740090,200715290,260150320,319202910,S120000584,39178190,3574736.9,N100000001,13,N,신창중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,미지정,결산세출,139020800,101002640,21672290,98376280,95550110,S120000587,11935890,9948042.8,N100000001,13,N,영인중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,미지정,결산세출,399165710,325708210,288095510,549774170,906690990,S120000588,62443100,2746071.2,N100000001,13,N,온양여자중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,미지정,결산세출,442300310,169404680,538136300,328751390,729549780,S120000589,90705800,2749818.5,N100000001,13,N,온양중학교,
,공립,3,충청남도 아산시,,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,복식부기,결산세출,284325770,190693250,56614480,324559380,474918260,S120000591,78548630,2625064.7,N100000001,13,N,음봉중학교,
중,공립,3,충청남도 아산시,3.0,충청남도아산교육지원청,충청남도교육청,N100000066,0,N,0,복식부기,결산세출,171221530,78822030,17836970,104773050,168511440,S120000592,74815130,6844223.9,N100000001,13,N,인주중학교,
중,공립,3,충청남도 예산군,3.0,충청남도예산교육지원청,충청남도교육청,N100000075,0,N,0,미지정,결산세출,176883300,106951190,18785910,228011700,120170780,S120000682,34193880,8456750.1,N100000001,13,N,고덕중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,0,N,0,복식부기,결산세출,149441950,249356260,37007330,130753870,77788380,S120000684,1580660,71769827.8,N100000001,13,N,대술중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,7025950,N,7000000,복식부기,결산세출,298720700,229035370,63117080,535825710,824069980,S120000686,8257850,3299419.1,N100000001,13,N,덕산중학교,
,공립,3,충청남도 예산군,,충청남도예산교육지원청,충청남도교육청,N100000075,0,N,0,복식부기,결산세출,174578940,272636920,22689130,137390990,117638560,S120000687,900000,10223021.7,N100000001,13,N,삽교중학교,
