정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,91686790
,교직원보수,0
,기타 교직원 보수,67324800
,교직원 복지 및 역량강화,24361990
학생복지/교육격차 해소,학생복지/교육격차 해소,689163060
,급식 관리,565645090
,기숙사 관리,0
,보건관리,56896910
,교육격차 해소,0
,학생복지,66621060
기본적 교육활동,기본적 교육활동,422949400
,교과 활동,190065550
,창의적 체험활동,212730440
,자유학기(년) 활동,20153410
선택적 교육활동,선택적 교육활동,62252150
,방과후학교 운영,1260000
,직업교육,0
,국제교육,0
,독서활동,32944400
,교기육성,2600000
,기타 선택적 교육활동,25447750
교육활동 지원,교육활동 지원,1060315290
,교무업무 운영,81160470
,생활지도 운영,51808300
,연구학교 운영,547840
,학습지원실 운영,31199270
,교육여건 개선,895599410
학교 일반운영,학교 일반운영,620582490
,학교기관운영,277438680
,시설 장비 유지,340418470
,학교운영 협력,2725340
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,2946949180
