파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
사립_초등_결산_세출_2023.csv,189604177238.0,83907086081.0,48741947803.0,57568020360.0,23669699132.0,30224610294.0,29725175914.0,712823740.0,891377148.5,465044917710.5,초등
사립_중등_결산_세출_2022.csv,1516816164939.0,304544770292.0,112835330605.0,78710894999.0,189742181605.0,148980577575.0,283908995375.0,10890749052.0,11982048105.1,2658411712547.1,중등
사립_중등_결산_세출_2023.csv,1528275356236.0,334389235996.0,153289773703.0,80530369577.0,222088244070.0,160653354375.0,324239952176.0,12748529375.0,12826197895.400002,2829041013403.4,중등
사립_초등_결산_세출_2022.csv,184310472197.0,73703941622.0,34226199281.0,49340459219.0,23125131169.0,28200596681.0,29325413119.0,960616341.0,840565884.7,424033395513.7,초등
사립_중등_결산_세출_2024.csv,1548795400190.0,353674766017.0,178941734022.0,88091004077.0,218867160954.0,172109674345.0,374531806813.0,20861556796.0,13737293407.4,2969610396621.4,중등
사립_초등_결산_세출_2024.csv,195289040205.0,90011488260.0,59043901775.0,64404704047.0,24996747152.0,32525879241.0,40296517140.0,1982234766.0,984119498.9000001,509534632084.9,초등
사립_고등_결산_세출_2022.csv,4255023589932.0,1139024526638.0,300258704925.0,300473207834.0,489958198719.0,393528105478.0,778570916001.0,39317923293.0,16054539712.400002,7712209712532.4,고등
사립_고등_결산_세출_2023.csv,4239516504504.0,1233532120378.0,432815741062.0,341575689785.0,537268676575.0,430662160936.0,986914197179.0,50144857964.0,18089034036.9,8270518982419.9,고등
사립_고등_결산_세출_2024.csv,4269309968843.0,1344904096587.0,506528783399.0,345467398758.0,595129704492.0,476971705430.0,1276440965528.0,63408299822.0,19355351385.5,8897516274244.5,고등
private_결산_세출_초등_합계,569203689640.0,247622515963.0,142012048859.0,171313183626.0,71791577453.0,90951086216.0,99347106173.0,3655674847.0,2716062532.1000004,1398612945309.1,초등
private_결산_세출_중등_합계,4593886921365.0,992608772305.0,445066838330.0,247332268653.0,630697586629.0,481743606295.0,982680754364.0,44500835223.0,38545539407.9,8457063122571.9,중등
private_결산_세출_고등_합계,12763850063279.0,3717460743603.0,1239603229386.0,987516296377.0,1622356579786.0,1301161971844.0,3041926078708.0,152871081079.0,53498925134.8,24880244969196.8,고등
2023_합계,5957396037978.0,1651828442455.0,634847462568.0,479674079722.0,783026619777.0,621540125605.0,1340879325269.0,63606211079.0,31806609080.800003,11564604913533.8,
2022_합계,5956150227068.0,1517273238552.0,447320234811.0,428524562052.0,702825511493.0,570709279734.0,1091805324495.0,51169288686.0,28877153702.200005,10794654820593.201,
2024_합계,6013394409238.0,1788590350864.0,744514419196.0,497963106882.0,838993612598.0,681607259016.0,1691269289481.0,86252091384.0,34076764291.8,12376661302950.8,
