파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
사립_초등_결산_세입_2024.csv,1520293385.589041,109368536.60273972,5322019620.890411,0.0,108936069.69863014,713292280.849315,7773909893.630137,초등
사립_중등_결산_세입_2024.csv,4414519550.681962,60627059.43512658,177629451.62025318,0.0,25771466.308544304,217231425.3955696,4895778953.441456,중등
사립_중등_결산_세입_2023.csv,4300992836.068038,51239275.096518986,139560973.13291138,0.0,18608680.810126584,155106352.88132912,4665508117.988924,중등
사립_초등_결산_세입_2022.csv,1198493417.8082192,157924769.2739726,4402627585.945206,0.0,44265956.71232877,601548744.3013699,6404860474.041096,초등
사립_초등_결산_세입_2023.csv,1361118289.6438355,103076801.91780822,4901911612.246575,0.0,96432018.01369864,609177626.5890411,7071716348.410958,초등
사립_중등_결산_세입_2022.csv,4016206131.5924177,47349141.13902054,114267757.4028436,0.0,9549125.001579778,149005876.6113744,4336378031.747235,중등
사립_고등_결산_세입_2024.csv,8112352481.355556,294195379.2190476,949465652.10582,0.0,89509771.73756614,580772503.0698413,10026295787.487831,고등
사립_고등_결산_세입_2023.csv,7712789882.131217,266440531.77671957,843999450.7492063,0.0,66133352.316402115,428052433.3862434,9317415650.359789,고등
사립_고등_결산_세입_2022.csv,7138248084.783069,234685372.77566135,766612464.3439153,0.0,52363770.428571425,387874558.447619,8579784250.778836,고등
초등_평균,1359968364.3470318,123456702.59817351,4875519606.36073,0.0,83211348.14155252,641339550.5799087,7083495572.027397,초등
중등_평균,4243906172.780806,53071825.22355536,143819394.0520027,0.0,17976424.040083554,173781218.29609105,4632555034.392539,중등
고등_평균,7654463482.756614,265107094.59047616,853359189.0663139,0.0,69335631.49417989,465566498.30123454,9307831896.208818,고등
