파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
사립_초등_결산_세입_2024.csv,110981417148,7983903172,388507432325,0,7952333088,52070336502,567495422235,초등
사립_중등_결산_세입_2024.csv,2789976356031,38316301563,112261813424,0,16287566707,137290260850,3094132298575,중등
사립_중등_결산_세입_2023.csv,2718227472395,32383221861,88202535020,0,11760686272,98027215021,2948601130569,중등
사립_초등_결산_세입_2022.csv,87490019500,11528508157,321391813774,0,3231414840,43913058334,467554814605,초등
사립_초등_결산_세입_2023.csv,99361635144,7524606540,357839547694,0,7039537315,44469966741,516235293434,초등
사립_중등_결산_세입_2022.csv,2542258481298,29972006341,72331490436,0,6044596126,94320719895,2744927294096,중등
사립_고등_결산_세입_2024.csv,7666173094881,278014633362,897245041240,0,84586734292,548830015401,9474849519176,고등
사립_고등_결산_세입_2023.csv,7288586438614,251786302529,797579480958,0,62496017939,404509549550,8804957789590,고등
사립_고등_결산_세입_2022.csv,6745644440120,221777677273,724448778805,0,49483763055,366541457733,8107896116986,고등
private_결산_세입_초등_합계,297833071792,27037017869,1067738793793,0,18223285243,140453361577,1551285530274,초등
private_결산_세입_중등_합계,8050462309724,100671529765,272795838880,0,34092849105,329638195766,8787660723240,중등
private_결산_세입_고등_합계,21700403973615,751578613164,2419273301003,0,196566515286,1319881022684,26387703425752,고등
2024_합계,10567130868060,324314838097,1398014286989,0,108826634087,738190612753,13136477239986,
2023_합계,10106175546153,291694130930,1243621563672,0,81296241526,547006731312,12269794213593,
2022_합계,9375392940918,263278191771,1118172083015,0,58759774021,504775235962,11320378225687,
