파일명,정부이전수입,기타이전수입,학부모부담수입,미사용,행정활동수입,기타,평균합계,학교급
사립_초등_예산_세입_2023.csv,515913232.8767123,95792876.71232876,4937472917.808219,0.0,70331698.63013698,451508013.69863015,6071018739.7260275,초등
사립_초등_예산_세입_2022.csv,468480493.15068495,93872671.23287672,4586436465.753425,0.0,49963931.50684932,360518534.24657536,5559272095.89041,초등
사립_초등_예산_세입_2024.csv,601464972.6027397,105189616.43835616,5259038958.90411,0.0,68065643.83561644,456005493.15068495,6489764684.931507,초등
사립_중등_예산_세입_2024.csv,3171013248.4177217,45242454.11392405,161121550.63291138,0.0,12118618.670886075,11274305.379746836,3400770177.21519,중등
사립_중등_예산_세입_2023.csv,3089309634.493671,42634003.164556965,152473061.70886075,0.0,9629843.35443038,10081683.544303797,3304128226.265823,중등
사립_중등_예산_세입_2022.csv,2978611592.417062,49568383.88625593,150752985.78199053,0.0,7924012.638230648,11901178.515007898,3198758153.238547,중등
사립_고등_예산_세입_2023.csv,5247565634.920635,201333268.78306878,969439245.5026455,0.0,46067632.804232806,52279775.661375664,6516685557.671958,고등
사립_고등_예산_세입_2022.csv,5069017642.010582,207855427.67195767,950005321.104762,0.0,31557323.0994709,45696399.64973545,6304132113.536509,고등
사립_고등_예산_세입_2024.csv,5416434656.084656,208973480.42328042,1002076740.7407408,0.0,50785079.365079366,46238340.74074074,6724508297.354497,고등
private_예산_세입_초등_평균,528619566.21004564,98285054.79452054,4927649447.4885845,0.0,62787091.324200906,422677347.0319635,6040018506.849315,초등
private_예산_세입_중등_평균,3079644825.109484,45814947.05491231,154782532.70792088,0.0,9890824.887849035,11085722.479686176,3301218852.239853,중등
private_예산_세입_고등_평균,5244339311.005291,206054058.9594356,973840435.7827162,0.0,42803345.08959436,48071505.35061729,6515108656.187654,고등
private_예산_세입_전체_평균,2950867900.7749405,116718020.26962283,2018757471.9930737,0.0,38493753.76721477,160611524.954089,5285448671.758942,전체
