파일명,인적자원_운용,학생복지_교육격차해소,기본적_교육활동,선택적_교육활동,교육활동_지원,학교_일반운영,학교_시설확충,학교_재무활동,1인당 평균 세출,평균합계,학교급
사립_중등_예산_세출_2022.csv,1511590001000.0,165646046000.0,78082993000.0,40310704000.0,58523657000.0,131177510000.0,37168019000.0,2314981000.0,9135033089.0,2033948944089.0,중등
사립_중등_예산_세출_2023.csv,1523668677000.0,190035212000.0,91942975000.0,37262862000.0,63577561000.0,142949350000.0,36769974000.0,2002428000.0,9881849878.2,2098090888878.2,중등
사립_중등_예산_세출_2024.csv,1557784597000.0,200238030000.0,98396841000.0,40538620000.0,65063694000.0,151681084000.0,33239996000.0,2343890000.0,10206505799.3,2159493257799.3,중등
사립_초등_예산_세출_2024.csv,210973251000.0,58770552000.0,52917007000.0,50539951000.0,23086689000.0,35833593000.0,38037124000.0,3594655000.0,929434644.3000001,474682256644.3,초등
사립_초등_예산_세출_2022.csv,194496071000.0,47643603000.0,43493817000.0,43181384000.0,17643610000.0,31157743000.0,25669517000.0,2541118000.0,775852844.3,406602715844.3,초등
사립_초등_예산_세출_2023.csv,201992430000.0,52772903000.0,48892621000.0,46726445000.0,21317638000.0,33944654000.0,34346747000.0,3190930000.0,854469384.7,444038837384.7,초등
사립_고등_예산_세출_2024.csv,4262351991000.0,893597214000.0,275972923000.0,146552445000.0,162998627000.0,424915310000.0,173074243000.0,15197588000.0,13380698543.099998,6368041039543.1,고등
사립_고등_예산_세출_2022.csv,4190346196349.0,784510370564.0,195368558948.0,152450243163.0,138936320761.0,360202396154.0,118575205780.0,16714269000.0,12675606584.1,5969779167303.1,고등
사립_고등_예산_세출_2023.csv,4199311852000.0,835790056000.0,243144051000.0,143167833000.0,162155967000.0,390216503000.0,169416484000.0,15065106000.0,13182897917.4,6171450749917.4,고등
private_예산_세출_초등_합계,607461752000.0,159187058000.0,145303445000.0,140447780000.0,62047937000.0,100935990000.0,98053388000.0,9326703000.0,2559756873.3,1325323809873.3,초등
private_예산_세출_중등_합계,4593043275000.0,555919288000.0,268422809000.0,118112186000.0,187164912000.0,425807944000.0,107177989000.0,6661299000.0,29223388766.5,6291533090766.5,중등
private_예산_세출_고등_합계,12652010039349.0,2513897640564.0,714485532948.0,442170521163.0,464090914761.0,1175334209154.0,461065932780.0,46976963000.0,39239203044.6,18509270956763.6,고등
2022_합계,5896432268349.0,997800019564.0,316945368948.0,235942331163.0,215103587761.0,522537649154.0,181412741780.0,21570368000.0,22586492517.4,8410330827236.399,
2023_합계,5924972959000.0,1078598171000.0,383979647000.0,227157140000.0,247051166000.0,567110507000.0,240533205000.0,20258464000.0,23919217180.300003,8713580476180.301,
2024_합계,6031109839000.0,1152605796000.0,427286771000.0,237631016000.0,251149010000.0,612429987000.0,244351363000.0,21136133000.0,24516638986.699997,9002216553986.7,
