정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,20799710
,교직원보수,0
,기타 교직원 보수,10140000
,교직원 복지 및 역량강화,10659710
학생복지/교육격차 해소,학생복지/교육격차 해소,300091230
,급식 관리,216436100
,기숙사 관리,0
,보건관리,24895130
,교육격차 해소,1600000
,학생복지,57160000
기본적 교육활동,기본적 교육활동,173129190
,교과 활동,134184380
,창의적 체험활동,38944810
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,105240470
,방과후학교 운영,94583280
,직업교육,0
,국제교육,0
,독서활동,10657190
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,36923780
,교무업무 운영,4058000
,생활지도 운영,14260280
,연구학교 운영,7000000
,학습지원실 운영,11605500
,교육여건 개선,0
학교 일반운영,학교 일반운영,213866730
,학교기관운영,73984580
,시설 장비 유지,137273150
,학교운영 협력,2609000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,7401000
,반환금,7401000
,예비비,0
세출합계,세출합계,857452110
