정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,10275000
,교직원보수,0
,기타 교직원 보수,8760000
,교직원 복지 및 역량강화,1515000
학생복지/교육격차 해소,학생복지/교육격차 해소,52896000
,급식 관리,37502000
,기숙사 관리,0
,보건관리,14894000
,교육격차 해소,0
,학생복지,500000
기본적 교육활동,기본적 교육활동,56000000
,교과 활동,38040000
,창의적 체험활동,17960000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,48513000
,방과후학교 운영,40153000
,직업교육,0
,국제교육,0
,독서활동,8360000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,30269000
,교무업무 운영,6700000
,생활지도 운영,9800000
,연구학교 운영,0
,학습지원실 운영,8769000
,교육여건 개선,5000000
학교 일반운영,학교 일반운영,169698000
,학교기관운영,49220000
,시설 장비 유지,118558000
,학교운영 협력,1920000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,367651000
