SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,경상북도 청도군,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,71578801,38654965,0,418331130,178235097,S150000811,7527623710,R100000001,16,일반고등학교,N,모계고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,21487895,7086342,0,64093590,96905030,S150000812,1742938930,R100000001,16,일반고등학교,N,무산고등학교
고,사립,4,경상북도 문경시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,983786500,75135500,0,310550810,1804919440,S150000816,6628615040,R100000001,16,일반고등학교,N,문경여자고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,8847446,30790954,0,360831390,317571863,S150000818,6645459130,R100000001,16,일반고등학교,N,문명고등학교
고,사립,4,경상북도 문경시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,77295082,26273413,0,424920930,323819060,S150000819,7996559030,R100000001,16,일반고등학교,N,문창고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,301129644,47012371,0,845637410,302816000,S150000820,10117471320,R100000001,16,일반고등학교,N,문화고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,1319109985,46091699,0,285948610,96580000,S150000838,3307560490,R100000001,16,특성화고등학교,N,삼성생활예술고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,224068395,10177908,0,668578450,37512000,S150000841,7370864900,R100000001,16,일반고등학교,N,상주고등학교
,사립,4,경상북도 상주시,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,7144943019,84454204,0,466390860,490563940,S150000842,8170007330,R100000001,16,특성화고등학교,N,상주공업고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,263697401,33670100,0,414259880,358317760,S150000844,7932304730,R100000001,16,일반고등학교,N,우석여자고등학교
고,사립,4,경상북도 상주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,581126035,32424820,0,231943760,352697310,S150000846,7212457752,R100000001,16,특성화고등학교,N,상지미래경영고등학교
,사립,4,경상북도 경주시,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,491695426,46189014,0,587640640,362522320,S150000847,11853404190,R100000001,16,일반고등학교,N,선덕여자고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,2214124563,41727455,0,591679070,21352000,S150000852,7264528730,R100000001,16,특성화고등학교,N,한국국제조리고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,172111645,4849081,0,332386850,43056000,S150000853,6363255260,R100000001,16,일반고등학교,N,동국대학교사범대학부속선화여자고등학교
,사립,4,경상북도 김천시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,49603630,23728390,0,453398450,215790280,S150000855,5005503310,R100000001,16,일반고등학교,N,성의고등학교
고,사립,4,경상북도 김천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,60928180,19384770,0,296040570,324157390,S150000856,4437281520,R100000001,16,일반고등학교,N,성의여자고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,85300524,6622110,0,119146650,2031274,S150000865,3122866870,R100000001,16,일반고등학교,N,성창여자고등학교
,사립,4,경상북도 안동시,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,6144310,38118920,0,287314200,17900000,S150000866,6887678370,R100000001,16,일반고등학교,N,성희여자고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,1321262797,74738477,0,349145170,1000000,S150000867,11721199550,R100000001,16,일반고등학교,N,세명고등학교
고,사립,4,경상북도 포항시 북구,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1037633546,53089842,0,320863890,11000000,S150000868,5264828170,R100000001,16,일반고등학교,N,세화고등학교
,사립,4,경상북도 칠곡군,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,227960683,36491494,0,553035440,217345870,S150000874,7577103890,R100000001,16,일반고등학교,N,순심고등학교
,사립,4,경상북도 칠곡군,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1738904,8219530,0,348095300,217771560,S150000875,5875202140,R100000001,16,일반고등학교,N,순심여자고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1525829952,48708198,0,700188830,21413000,S150000879,8643119000,R100000001,16,일반고등학교,N,신라고등학교
고,사립,4,경상북도 경주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,4570003663,232291098,0,541121660,383581088,S150000880,16388747760,R100000001,16,특성화고등학교,N,신라공업고등학교
,사립,4,경상북도 경주시,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,2544080980,53334250,0,359762750,237186340,S150000885,6628369490,R100000001,16,일반고등학교,N,경주예일고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,127910128,32687442,0,144203920,6100000,S150000893,10970741220,R100000001,16,특성화고등학교,N,경북하이텍고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1803033681,54447626,0,450422500,436489260,S150000897,7726184810,R100000001,16,일반고등학교,N,안동중앙고등학교
,사립,4,경상북도 영주시,,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,1500861894,45464099,0,739808230,21928160,S150000901,8102521650,R100000001,16,일반고등학교,N,영광고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,4071364,24103672,0,557786435,17872000,S150000902,7868707510,R100000001,16,일반고등학교,N,영광여자고등학교
고,사립,4,경상북도 경산시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,7193574,48237626,0,471666090,509286770,S150000903,4636562650,R100000001,16,일반고등학교,N,영남삼육고등학교
고,사립,4,경상북도 영덕군,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,2923132,3925489,0,108782700,184292320,S150000904,3079016800,R100000001,16,일반고등학교,N,영덕여자고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,1153228290,28178531,0,427729810,448052551,S150000906,7227722410,R100000001,16,일반고등학교,N,영동고등학교
고,사립,4,경상북도 안동시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,279285802,50534088,0,742256580,27530390,S150000907,5715661710,R100000001,16,특성화고등학교,N,예일메디텍고등학교
고,사립,4,경상북도 영양군,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,49390890,19432321,0,396424530,348027000,S150000909,4571920320,R100000001,16,일반고등학교,N,영양여자고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,8633085,17502300,0,292106630,3010000,S150000910,6800145440,R100000001,16,일반고등학교,N,영일고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,9439923450,169276274,0,293445400,4451000,S150000912,4577521260,R100000001,16,특성화고등학교,N,한국철도고등학교
고,사립,4,경상북도 영주시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,4176405640,94434831,0,2402120030,159628532,S150000914,7482957688,R100000001,16,특성화고등학교,N,경북항공고등학교
,사립,4,경상북도 영천시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,7525213185,197365799,0,293026710,75680760,S150000920,8887196540,R100000001,16,특성화고등학교,N,영천전자고등학교
고,사립,4,경상북도 영천시,4.0,경상북도교육청,경상북도교육청,R100000001,N,미지정,결산세입,71991117,16379459,0,450050310,524320328,S150000923,5616684500,R100000001,16,일반고등학교,N,영천성남여자고등학교
,사립,4,경상북도 구미시,,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,35867870,139441170,0,1364250130,172546170,S150000931,13188763260,R100000001,16,일반고등학교,N,오상고등학교
고,사립,4,경상북도 포항시 남구,4.0,경상북도교육청,경상북도교육청,R100000001,N,복식부기,결산세입,588170889,47073641,0,569360123,445149510,S150000934,10258981170,R100000001,16,일반고등학교,N,오천고등학교
