SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,공립,3,전북특별자치도 김제시,,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,3000000,N,0,복식부기,예산세출,191654000,30455000,22795000,57976000,243989000,S130000691,1940000,2474479.8,P100000001,14,N,김제중앙중학교,
중,공립,3,전북특별자치도 김제시,3.0,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,189186000,28253000,24370000,92663000,248473000,S130000692,4300000,2950979.9,P100000001,14,N,김제중학교,
중,공립,3,전북특별자치도 김제시,3.0,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,76722000,9213000,14614000,31883000,24213000,S130000697,4265000,13409166.7,P100000001,14,N,봉남중학교,
중,공립,3,전북특별자치도 김제시,3.0,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,83277000,11704000,9774000,33732000,26794000,S130000698,4750000,5667700.0,P100000001,14,N,용지중학교,
중,공립,3,전북특별자치도 김제시,3.0,전북특별자치도김제교육지원청,전북특별자치도교육청,P100000128,0,N,0,복식부기,예산세출,70757000,15305000,17086000,37170000,22373000,S130000699,7424000,8953421.1,P100000001,14,N,청하중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,0,N,0,복식부기,예산세출,61601000,17095000,6900000,44035000,25048000,S130000787,5750000,16042900.0,P100000001,14,N,금지중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,2000000,N,0,복식부기,예산세출,242814000,103110000,31602000,131941000,376139000,S130000790,2850000,2265791.3,P100000001,14,N,남원용성중학교,
중,공립,3,전북특별자치도 남원시,3.0,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,5320000,N,0,복식부기,예산세출,227950000,43815000,14898000,126501000,270590000,S130000791,7650000,1919349.9,P100000001,14,N,남원중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,1000000,N,0,복식부기,예산세출,173535000,55918000,25320000,66495000,269658000,S130000792,4700000,1561848.2,P100000001,14,N,남원하늘중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,3000000,N,0,복식부기,예산세출,228829000,40136000,17300000,226709000,391080000,S130000793,4240000,2109476.9,P100000001,14,N,남원한빛중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,0,N,0,복식부기,예산세출,84323000,17682000,15180000,18678000,18306000,S130000794,4260000,79214500.0,P100000001,14,N,대강중학교,
중,공립,3,전북특별자치도 남원시,3.0,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,0,N,0,복식부기,예산세출,59777000,13402000,15838000,42117000,24192000,S130000795,2240000,17507333.3,P100000001,14,N,보절중학교,
중,공립,3,전북특별자치도 남원시,3.0,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,500000,N,0,복식부기,예산세출,74956000,21830000,14480000,40782000,26745000,S130000796,5580000,3851520.8,P100000001,14,N,산내중학교,
중,공립,3,전북특별자치도 남원시,3.0,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,0,N,0,복식부기,예산세출,67057000,18883000,11436000,37451000,22130000,S130000797,4880000,8517736.8,P100000001,14,N,송동중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,1000000,N,0,복식부기,예산세출,48468000,15090000,9617000,36508000,19058000,S130000798,6900000,19520142.9,P100000001,14,N,수지중학교,
,공립,3,전북특별자치도 남원시,,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,0,N,0,복식부기,예산세출,63955000,20045000,14064000,47822000,27315000,S130000799,3784000,4783378.4,P100000001,14,N,아영중학교,
중,공립,3,전북특별자치도 남원시,3.0,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,4900000,N,0,복식부기,예산세출,75306000,15453000,7600000,51730000,27050000,S130000802,5300000,4803564.1,P100000001,14,N,운봉중학교,
중,공립,3,전북특별자치도 남원시,3.0,전북특별자치도남원교육지원청,전북특별자치도교육청,P100000141,1000000,N,0,복식부기,예산세출,66449000,13210000,17834000,47010000,25229000,S130000803,5600000,3833304.3,P100000001,14,N,인월중학교,
,공립,3,전북특별자치도 무주군,,전북특별자치도무주교육지원청,전북특별자치도교육청,P100000154,3000000,N,0,복식부기,예산세출,219445000,30130000,3780000,180616000,241328000,S130000884,5000000,2009702.9,P100000001,14,N,무주중학교,
중,공립,3,전북특별자치도 무주군,3.0,전북특별자치도무주교육지원청,전북특별자치도교육청,P100000154,623000,N,0,복식부기,예산세출,36969000,14640000,44748000,45828000,27790000,S130000886,2200000,10164588.2,P100000001,14,N,무풍중학교,
,공립,3,전북특별자치도 무주군,,전북특별자치도무주교육지원청,전북특별자치도교육청,P100000154,500000,N,0,복식부기,예산세출,57947000,10300000,26950000,39590000,8558000,S130000887,2400000,20892142.9,P100000001,14,N,부남중학교,
,공립,3,전북특별자치도 무주군,,전북특별자치도무주교육지원청,전북특별자치도교육청,P100000154,0,N,0,복식부기,예산세출,159477000,26512000,20030000,56730000,7007000,S130000888,2370000,3727753.4,P100000001,14,N,설천중학교,
중,공립,3,전북특별자치도 무주군,3.0,전북특별자치도무주교육지원청,전북특별자치도교육청,P100000154,5000000,N,0,복식부기,예산세출,103997000,62795000,7600000,53777000,22519000,S130000889,5100000,3477173.3,P100000001,14,N,안성중학교,
중,공립,3,전북특별자치도 무주군,3.0,전북특별자치도무주교육지원청,전북특별자치도교육청,P100000154,500000,N,0,복식부기,예산세출,71365000,11323000,17175000,48068000,23270000,S130000890,7700000,10553000.0,P100000001,14,N,적상중학교,
,공립,3,전북특별자치도 부안군,,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,3000000,N,0,복식부기,예산세출,68151000,15588000,12045000,30999000,29138000,S130000920,2630000,9503000.0,P100000001,14,N,계화중학교,
,공립,3,전북특별자치도 부안군,,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,0,N,0,복식부기,예산세출,71320000,17813000,13000000,30336000,27290000,S130000923,7142000,9817705.9,P100000001,14,N,변산중학교,
,공립,3,전북특별자치도 부안군,,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,1950000,N,0,복식부기,예산세출,66738000,20060000,8914000,41642000,29203000,S130000924,5124000,10213588.2,P100000001,14,N,보안중학교,
중,공립,3,전북특별자치도 부안군,3.0,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,1046000,N,0,복식부기,예산세출,146828000,27306000,14170000,57578000,206725000,S130000926,7718000,2779343.4,P100000001,14,N,부안중학교,
중,공립,3,전북특별자치도 부안군,3.0,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,600000,N,0,복식부기,예산세출,72672000,15807000,8005000,29827000,26367000,S130000928,5300000,12198307.7,P100000001,14,N,상서중학교,
중,공립,3,전북특별자치도 부안군,3.0,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,8002000,N,0,복식부기,예산세출,54440000,13259000,17500000,37291000,17501000,S130000929,2260000,50084333.3,P100000001,14,N,위도중학교,
,공립,3,전북특별자치도 부안군,,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,1117000,N,0,복식부기,예산세출,66144000,12400000,9970000,33620000,25447000,S130000930,3150000,151848000.0,P100000001,14,N,주산중학교,
,공립,3,전북특별자치도 부안군,,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,0,N,0,복식부기,예산세출,87631000,15690000,4400000,52585000,28921000,S130000931,1760000,6160871.0,P100000001,14,N,줄포중학교,
,공립,3,전북특별자치도 부안군,,전북특별자치도부안교육지원청,전북특별자치도교육청,P100000165,500000,N,0,복식부기,예산세출,70592000,23102000,13130000,44465000,29238000,S130000932,4150000,7407080.0,P100000001,14,N,하서중학교,
중,공립,3,전북특별자치도 순창군,3.0,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,0,N,0,복식부기,예산세출,84818000,10084000,5900000,32977000,18994000,S130001001,3500000,14206636.4,P100000001,14,N,구림중학교,
,공립,3,전북특별자치도 순창군,,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,3000000,N,0,복식부기,예산세출,61622000,54040000,8620000,39950000,12538000,S130001003,0,16342727.3,P100000001,14,N,동계중학교,
,공립,3,전북특별자치도 순창군,,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,1620000,N,0,복식부기,예산세출,82506000,25115000,7200000,38043000,27120000,S130001004,3800000,4635100.0,P100000001,14,N,복흥중학교,
,공립,3,전북특별자치도 순창군,,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,0,N,0,복식부기,예산세출,172523000,41169000,16090000,72135000,154837000,S130001006,2940000,1876302.0,P100000001,14,N,새솔중학교,
중,공립,3,전북특별자치도 순창군,3.0,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,0,N,0,복식부기,예산세출,134438000,58168000,26374000,56103000,130169000,S130001007,1700000,3538713.0,P100000001,14,N,순창중학교,
,공립,3,전북특별자치도 순창군,,전북특별자치도순창교육지원청,전북특별자치도교육청,P100000176,0,N,0,복식부기,예산세출,65145000,22091000,7750000,41436000,22681000,S130001008,1600000,5541482.8,P100000001,14,N,쌍치중학교,
,공립,3,전북특별자치도 완주군,,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,2800000,N,0,복식부기,예산세출,159352000,26040000,5698000,54289000,82758000,S130001045,9760000,3476500.0,P100000001,14,N,고산중학교,
중,공립,3,전북특별자치도 완주군,3.0,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,500000,N,0,복식부기,예산세출,115151000,59498000,31798000,36946000,82504000,S130001046,8316000,3415438.8,P100000001,14,N,구이중학교,
중,공립,3,전북특별자치도 완주군,3.0,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,0,N,0,복식부기,예산세출,237689000,34800000,38310000,65379000,307959000,S130001048,15630000,2052102.6,P100000001,14,N,삼례중학교,
,공립,3,전북특별자치도 완주군,,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,839000,N,0,복식부기,예산세출,102585000,67599000,10662000,63481000,42495000,S130001050,2000000,2609558.6,P100000001,14,N,상관중학교,
중,공립,3,전북특별자치도 완주군,3.0,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,1000000,N,0,복식부기,예산세출,92115000,57229000,12700000,54185000,45842000,S130001051,7020000,3462705.1,P100000001,14,N,소양중학교,
중,공립,3,전북특별자치도 완주군,3.0,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,0,N,0,복식부기,예산세출,251993000,61359000,87067000,92590000,81516000,S130001053,2800000,1330241.9,P100000001,14,N,완주중학교,
,공립,3,전북특별자치도 완주군,,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,1000000,N,0,복식부기,예산세출,161929000,18104000,12317000,48908000,40873000,S130001054,1200000,3231034.1,P100000001,14,N,용진중학교,
,공립,3,전북특별자치도 완주군,,전북특별자치도완주교육지원청,전북특별자치도교육청,P100000190,1000000,N,0,복식부기,예산세출,76742000,13237000,12695000,29854000,25571000,S130001055,3870000,10185562.5,P100000001,14,N,운주중학교,
,공립,3,전북특별자치도 익산시,,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2000000,N,0,복식부기,예산세출,72626000,13704000,8828000,39040000,19981000,S130001128,4750000,8469947.4,P100000001,14,N,삼기중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,3500000,N,0,복식부기,예산세출,61446000,14172000,21400000,39400000,21152000,S130001129,5910000,6422307.7,P100000001,14,N,성당중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,1000000,N,0,복식부기,예산세출,75443000,14133000,9206000,44991000,25184000,S130001130,3800000,6205607.1,P100000001,14,N,여산중학교,
,공립,3,전북특별자치도 익산시,,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,1000000,N,0,복식부기,예산세출,62144000,15020000,11340000,35479000,24258000,S130001132,6256000,8638722.2,P100000001,14,N,왕궁중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,3000000,N,0,복식부기,예산세출,66938000,19130000,9320000,35927000,23320000,S130001133,2970000,8922500.0,P100000001,14,N,용안중학교,
,공립,3,전북특별자치도 익산시,,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,0,N,0,복식부기,예산세출,71967000,37073000,4500000,44451000,20852000,S130001134,4935000,12251866.7,P100000001,14,N,웅포중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,6501000,N,0,복식부기,예산세출,314205000,96722000,18066000,168387000,489556000,S130001137,10350000,1950153.7,P100000001,14,N,이리남중학교,
,공립,3,전북특별자치도 익산시,,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2000000,N,0,복식부기,예산세출,269230000,45480000,42470000,79083000,116198000,S130001138,5685000,1343275.8,P100000001,14,N,이리동중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,1056000,N,0,복식부기,예산세출,289159000,48485000,20500000,164722000,368852000,S130001139,5500000,1895092.8,P100000001,14,N,이리북중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,884000,N,0,복식부기,예산세출,242033000,90341000,14425000,150191000,117246000,S130001141,10140000,1188707.2,P100000001,14,N,이리영등중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,1000000,N,0,복식부기,예산세출,244618000,53838000,28548000,145495000,327807000,S130001145,5090000,2133322.8,P100000001,14,N,익산지원중학교,
,공립,3,전북특별자치도 익산시,,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,2500000,N,0,복식부기,예산세출,54761000,22510000,15522000,39643000,22197000,S130001147,5900000,6793041.7,P100000001,14,N,함라중학교,
중,공립,3,전북특별자치도 익산시,3.0,전북특별자치도익산교육지원청,전북특별자치도교육청,P100000204,1000000,N,0,복식부기,예산세출,139179000,48890000,6450000,35630000,43370000,S130001149,10308000,3390797.6,P100000001,14,N,함열중학교,
중,공립,3,전북특별자치도 임실군,3.0,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,0,N,0,복식부기,예산세출,100250000,12448000,16250000,41921000,43950000,S130001298,7420000,3268220.6,P100000001,14,N,관촌중학교,
중,공립,3,전북특별자치도 임실군,3.0,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,770000,N,0,복식부기,예산세출,67817000,13872000,6245000,49402000,21629000,S130001299,7900000,7982619.0,P100000001,14,N,삼계중학교,
,공립,3,전북특별자치도 임실군,,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,500000,N,0,복식부기,예산세출,77990000,17280000,5500000,33082000,21541000,S130001300,3450000,9373117.6,P100000001,14,N,섬진중학교,
,공립,3,전북특별자치도 임실군,,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,0,N,0,복식부기,예산세출,61583000,21786000,26355000,55741000,29032000,S130001301,2100000,8191541.7,P100000001,14,N,성수중학교,
,공립,3,전북특별자치도 임실군,,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,3000000,N,0,복식부기,예산세출,88719000,16920000,19980000,37822000,120277000,S130001303,1700000,5768360.0,P100000001,14,N,오수중학교,
중,공립,3,전북특별자치도 임실군,3.0,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,860000,N,0,복식부기,예산세출,56729000,30120000,7028000,33749000,9887000,S130001304,3840000,11851083.3,P100000001,14,N,운암중학교,
중,공립,3,전북특별자치도 임실군,3.0,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,3000000,N,0,복식부기,예산세출,121444000,41656000,16150000,88048000,250484000,S130001305,7000000,2255478.6,P100000001,14,N,임실동중학교,
,공립,3,전북특별자치도 임실군,,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,3728000,N,0,복식부기,예산세출,62643000,18380000,12570000,37602000,21609000,S130001306,3150000,39920500.0,P100000001,14,N,지사중학교,
중,공립,3,전북특별자치도 임실군,3.0,전북특별자치도임실교육지원청,전북특별자치도교육청,P100000224,0,N,0,복식부기,예산세출,75458000,25620000,17260000,30526000,21930000,S130001307,4070000,8326857.1,P100000001,14,N,청웅중학교,
,공립,3,전북특별자치도 장수군,,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,450000,N,0,복식부기,예산세출,70866000,19115000,8995000,33963000,24903000,S130001345,4680000,6790500.0,P100000001,14,N,계남중학교,
중,공립,3,전북특별자치도 장수군,3.0,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,2000000,N,0,복식부기,예산세출,72613000,14980000,11670000,47511000,24050000,S130001346,6200000,10530823.5,P100000001,14,N,계북중학교,
,공립,3,전북특별자치도 장수군,,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,1579000,N,0,복식부기,예산세출,77392000,12460000,7700000,35916000,21353000,S130001347,5480000,9522352.9,P100000001,14,N,번암중학교,
,공립,3,전북특별자치도 장수군,,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,0,N,0,복식부기,예산세출,71921000,9640000,27037000,71140000,15092000,S130001348,2900000,6591000.0,P100000001,14,N,산서중학교,
,공립,3,전북특별자치도 장수군,,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,1000000,N,0,복식부기,예산세출,123610000,57130000,6800000,47910000,45883000,S130001349,4118000,2186648.9,P100000001,14,N,장계중학교,
중,공립,3,전북특별자치도 장수군,3.0,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,0,N,0,복식부기,예산세출,192804000,95160000,15200000,59350000,242615000,S130001350,440000,2374780.4,P100000001,14,N,장수중학교,
,공립,3,전북특별자치도 장수군,,전북특별자치도장수교육지원청,전북특별자치도교육청,P100000235,0,N,0,복식부기,예산세출,80963000,9929000,13360000,31321000,26364000,S130001351,5030000,15178818.2,P100000001,14,N,천천중학교,
