정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,11265310
,교직원보수,0
,기타 교직원 보수,9063280
,교직원 복지 및 역량강화,2202030
학생복지/교육격차 해소,학생복지/교육격차 해소,296053970
,급식 관리,203025290
,기숙사 관리,0
,보건관리,13667890
,교육격차 해소,600000
,학생복지,78760790
기본적 교육활동,기본적 교육활동,190081820
,교과 활동,145485550
,창의적 체험활동,44596270
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,192324750
,방과후학교 운영,163645580
,직업교육,0
,국제교육,0
,독서활동,8300050
,교기육성,0
,기타 선택적 교육활동,20379120
교육활동 지원,교육활동 지원,214811910
,교무업무 운영,61978870
,생활지도 운영,14546330
,연구학교 운영,16659050
,학습지원실 운영,14119650
,교육여건 개선,107508010
학교 일반운영,학교 일반운영,221662450
,학교기관운영,41821170
,시설 장비 유지,178511780
,학교운영 협력,1329500
학교시설 확충,학교시설 확충,345951990
,시설확충 및 개선,345951990
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,1472152200
