SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,820780,N,0,미지정,결산세출,215828590,140074900,44944450,98811880,98742740,S060000449,22823380,18849900.6,G100000001,6,N,기성중학교,
,공립,3,대전광역시 유성구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,5348680,N,0,복식부기,결산세출,267898420,360702870,183530480,226846590,811174120,S060000450,55311240,3346431.5,G100000001,6,N,대덕중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,3698470,N,0,미지정,결산세출,287529840,322661310,177761790,252569830,1038830450,S060000451,51934060,2709372.8,G100000001,6,N,대전갑천중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,2543860,N,0,복식부기,결산세출,248234420,437355880,54635210,220279050,960655740,S060000452,89268990,2843182.4,G100000001,6,N,대전관저중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,2930,N,0,미지정,결산세출,332814350,233602500,124779010,86606620,488755470,S060000453,35590700,5229524.4,G100000001,6,N,대전남선중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,2431160,N,0,복식부기,결산세출,255225520,293544310,127066310,148130630,785016890,S060000454,52246700,2992197.0,G100000001,6,N,대전내동중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,7165830,N,0,미지정,결산세출,394990440,307094330,152951540,224460490,1131843930,S060000455,69893950,2408842.6,G100000001,6,N,대전노은중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,2149050,N,840000,복식부기,결산세출,255111760,245599040,157119970,72142390,516167610,S060000457,30389030,5037475.8,G100000001,6,N,대전도마중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,9890,N,0,복식부기,결산세출,284557720,373838620,158346880,175637930,1126714810,S060000458,58906460,3080639.8,G100000001,6,N,대전둔산중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,4000390,N,0,복식부기,결산세출,287054990,382692260,92920560,164715150,801724400,S060000459,73106830,3242755.1,G100000001,6,N,대전둔원중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,5540,N,0,복식부기,결산세출,240036290,296009020,183640050,198824260,660634310,S060000460,41780350,4310983.6,G100000001,6,N,대전만년중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,9588030,N,3000000,복식부기,결산세출,374872430,588460770,257263800,248962570,1563478180,S060000461,92267930,2307274.8,G100000001,6,N,대전문정중학교,
중,공립,3,대전광역시 유성구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,1590710,N,0,복식부기,결산세출,255097650,201279180,89336850,91140670,510139620,S060000462,32866110,4706975.3,G100000001,6,N,대전문지중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,13704070,N,0,복식부기,결산세출,302182210,463035480,163293700,239278900,1050719950,S060000463,66274620,2713682.3,G100000001,6,N,대전버드내중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,4940300,N,0,미지정,결산세출,261829560,274191010,103508780,177354240,611831870,S060000464,31931300,4454671.9,G100000001,6,N,대전변동중학교,
중,공립,3,대전광역시 서구,3.0,대전광역시서부교육지원청,대전광역시교육청,G100000138,730050,N,0,복식부기,결산세출,236546810,359010740,45577590,231620950,443456990,S060000465,33293840,5095233.8,G100000001,6,N,대전봉산중학교,
,공립,3,대전광역시 서구,,대전광역시서부교육지원청,대전광역시교육청,G100000138,35577310,N,0,미지정,결산세출,258355730,393617220,73480490,214269010,899550930,S060000466,55222580,2769115.2,G100000001,6,N,대전봉우중학교,
