"공시년도","층화학교ID","70%추출","시도교육청명","학교급명","공시차수","급식시설설비유지금액","급식인건비","운영비기타금액","학생1인당급식비평균","급식비지원학생수","급식비지원금액","집행잔액","급식식품비","시설설비금액","기타지원금액","보호자지원금액","학교자체지원금액","자치단체지원금액","교육청지원금액","급식비지원학교수"
"2021","1049554518",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,612,471714,0,0,0,81419,0,0,102603,360101,1
"2021","1096577244",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1064,612684,0,0,0,0,0,0,302729,309955,1
"2021","1250428309",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,863,547526,0,0,0,78282,33800,0,134993,412533,1
"2021","1250955970",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,917,609615,0,0,0,0,0,0,152162,457453,1
"2021","1270588994",Y,경기도교육청,고등학교,2,0,0,0,4660.0000000000,0,0,0,0,0,11583,0,0,275068,692507,1
"2021","1272224199",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,680,382584,0,0,0,0,4959,0,180023,417833,1
"2021","1291755465",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,965,861498,0,0,0,0,18107,0,213822,515334,1
"2021","1331466047",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,304,183932,0,0,0,0,0,0,51501,132431,1
"2021","1386060250",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,734,616821,0,0,0,0,0,0,145017,471804,1
"2021","1386242836",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1096,529822,0,0,0,0,0,0,148100,569548,1
"2021","1387835551",Y,경기도교육청,고등학교,2,0,0,0,4580.0000000000,0,0,0,0,0,45644,0,0,189014,541576,1
"2021","1387954142",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,769,482887,0,0,0,304520,0,0,126464,356423,1
"2021","1447264286",Y,경기도교육청,고등학교,2,0,0,0,4930.0000000000,572,397200,0,0,0,18024,0,0,101052,278124,1
"2021","1501546860",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,389,235418920,0,0,0,0,0,0,32278210,83001110,1
"2021","1588328892",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,887,583090,0,0,0,19142,83909,0,163265,419825,1
"2021","1591036115",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,900,562696,0,0,0,0,0,0,138759,423937,1
"2021","1616623385",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1017,661614,0,0,0,50763,0,0,142612,468239,1
"2021","1680879493",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,688,592653,0,0,0,0,171,0,141913,450569,1
"2021","1684054401",Y,경기도교육청,고등학교,2,0,0,0,4970.0000000000,453,396143,0,0,0,6722,0,0,94139,295282,1
"2021","1684292737",Y,경기도교육청,고등학교,2,0,0,0,5070.0000000000,439,259115,0,0,0,1200,0,0,81814,343470,1
"2021","1756276950",Y,경기도교육청,고등학교,2,0,0,0,5000.0000000000,1102,698204,0,0,0,1486,84361,0,185022,511695,1
"2021","1761498250",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1063,800128,0,0,0,0,0,0,165215,625525,1
"2021","1762751898",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,926,535340,0,0,0,0,0,0,152871,532732,1
"2021","1864865048",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,979,658785,0,0,0,0,0,0,171866,486919,1
"2021","1877222219",Y,경기도교육청,고등학교,2,0,0,0,4950.0000000000,0,0,0,0,0,22313,0,0,46164,118710,1
"2021","1921292345",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,426,356346,0,0,0,30908,0,0,81063,244375,1
"2021","1930092637",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,762,358219,0,0,0,0,0,0,203020,595344,1
"2021","1949828475",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,873,639029,0,0,0,0,0,0,126273,512756,1
"2021","1975380261",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,873,691834,0,0,0,30265,12238,0,129319,520012,1
"2021","1986892936",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,374,210291,0,0,0,0,0,0,58883,151408,1
"2021","1993706214",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,663,422772,0,0,0,0,0,0,118376,304396,1
"2021","2034912084",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,852,641206,0,0,0,0,0,0,136330,504876,1
"2021","2050981910",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,676,414361,0,0,0,0,138084,0,0,285646,1
"2021","2097049476",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1080,772955,0,0,0,0,0,0,182040,590915,1
"2021","2159927196",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,729,483344,0,0,0,0,0,0,135336,348008,1
"2021","2175302176",Y,경기도교육청,고등학교,2,0,0,0,5200.0000000000,188,81674,0,0,0,0,0,0,40487,41187,1
"2021","2194297862",Y,경기도교육청,고등학교,2,0,0,0,4930.0000000000,504,301650,0,0,0,8022,0,0,93356,200272,1
"2021","2215812538",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,881,615102,0,0,0,0,0,0,158969,447130,1
"2021","2287347421",Y,경기도교육청,고등학교,2,0,0,0,4700.0000000000,0,0,0,0,0,28400,0,0,130470,307976,1
"2021","2294076375",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,914,681022,0,0,0,49864,0,0,152773,478385,1
"2021","2337170855",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,637,389747,0,0,0,0,0,0,109019,280728,1
"2021","2416359898",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,917,496238,0,0,0,0,0,0,130297,365941,1
"2021","2422051850",Y,경기도교육청,고등학교,2,0,0,0,4930.0000000000,528,373195,0,0,0,0,0,0,104494,268701,1
"2021","2437461732",Y,경기도교육청,고등학교,2,0,0,0,4600.0000000000,978,554153,0,0,0,0,0,0,146489,407664,1
"2021","2468963918",Y,경기도교육청,고등학교,2,0,0,0,5300.0000000000,527,477606,0,0,0,0,0,0,105380,372226,1
"2021","2473936561",Y,경기도교육청,고등학교,2,0,0,0,4200.0000000000,70,265871,0,0,0,0,30783,0,0,797613,1
"2021","2476325401",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1059,555981,0,0,0,0,0,0,155674,457355,1
"2021","2500124443",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,730,399156,0,0,0,0,0,0,111763,287393,1
"2021","2526699902",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,900,447586,0,0,0,0,0,0,125324,417290,1
"2021","2591371840",Y,경기도교육청,고등학교,2,0,0,0,4800.0000000000,732,518166,0,0,0,0,0,0,239485,278681,1
"2021","2618418393",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,819,425225,0,0,0,0,1973,0,128187,337737,1
"2021","2638623839",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1013,556783,0,0,0,0,0,0,132015,504133,1
"2021","2656744418",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,787,478115,0,0,0,0,0,0,139832,518471,1
"2021","2679093780",Y,경기도교육청,고등학교,2,0,0,0,5230.0000000000,202,219478,0,0,0,28967,0,0,52423,138088,1
"2021","2702991952",Y,경기도교육청,고등학교,2,0,0,0,5020.0000000000,362,197905,0,0,0,0,0,0,104573,93332,1
"2021","2714320088",Y,경기도교육청,고등학교,2,0,0,0,5020.0000000000,0,0,0,0,0,56162,0,0,58157,199095,1
"2021","2815116901",Y,경기도교육청,고등학교,2,0,0,0,5020.0000000000,156,113992,0,0,0,18785,0,0,25450,69757,1
"2021","2862332250",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,962,603936,0,0,0,0,0,0,289889,314047,1
"2021","2889755149",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,628,411540,0,0,0,25794,0,0,100433,285313,1
"2021","2891376435",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,941,633065,0,0,0,0,0,0,167304,465761,1
"2021","2911595623",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,0,0,0,0,0,0,0,0,105806,292082,1
"2021","2945363774",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1031,861419,0,0,0,0,0,0,162397,679669,1
"2021","2946636354",Y,경기도교육청,고등학교,2,0,0,0,5030.0000000000,745,372406,0,0,0,0,0,0,104266,268140,1
"2021","2960540208",Y,경기도교육청,고등학교,2,0,0,0,4680.0000000000,874,500951,0,0,0,0,0,0,157789,343162,1
"2021","2980809188",Y,경기도교육청,고등학교,2,0,0,0,4930.0000000000,549,403323,0,0,0,4029,26194,0,102466,300857,1
"2021","2989394526",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,817,473382,0,0,0,0,0,0,227223,246159,1
"2021","2993759698",Y,경기도교육청,고등학교,2,0,0,0,5230.0000000000,82,76392,0,0,0,73540,14071,0,33432,100931,1
"2021","3021300688",Y,경기도교육청,고등학교,2,0,0,0,5020.0000000000,254,197357,0,0,0,0,0,0,51232,146125,1
"2021","3068964994",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,0,0,0,0,0,0,53258,0,191930,529996,1
"2021","3071493151",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,0,0,0,0,0,0,1556249,0,229402,589884,1
"2021","3119339202",Y,경기도교육청,고등학교,2,0,0,0,4860.0000000000,1109,679680,0,0,0,77727,0,0,177760,501920,1
"2021","3223194560",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1046,731842,0,0,0,0,0,0,152881,578961,1
"2021","3229192585",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,687,396327,0,0,0,0,0,0,127458,574273,1
"2021","3274730698",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,673,387820,0,0,0,6810,37593,0,108590,279230,1
"2021","3469195460",Y,경기도교육청,고등학교,2,0,0,0,5020.0000000000,256,184702,0,0,0,0,0,0,62837,121865,1
"2021","3471763036",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,732,412328,0,0,0,0,0,0,201391,210937,1
"2021","3532532350",Y,경기도교육청,고등학교,2,0,0,0,4890.0000000000,642,548249,0,0,0,23290,0,0,165329,359630,1
"2021","3550458528",Y,경기도교육청,고등학교,2,0,0,0,5080.0000000000,112,78708,0,0,0,0,0,0,50156,158513,1
"2021","3564308987",Y,경기도교육청,고등학교,2,0,0,0,4700.0000000000,859,639429,0,0,0,38430,0,0,157969,443030,1
"2021","3605182316",Y,경기도교육청,고등학교,2,0,0,0,4850.0000000000,720,387289,0,0,0,0,0,0,107925,415891,1
"2021","3681246970",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1015,864658,0,0,0,10623,0,0,184830,669205,1
"2021","3734170760",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,947,636659,0,0,0,5084,39658,0,178264,458395,1
"2021","3740726813",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,926,604752,0,0,0,29,0,0,169322,435401,1
"2021","3742372158",Y,경기도교육청,고등학교,2,0,0,0,4700.0000000000,744,485719,0,0,0,0,0,0,125921,359798,1
"2021","3745857823",Y,경기도교육청,고등학교,2,0,0,0,4500.0000000000,674,376039,0,0,0,0,91292,0,114087,261951,1
"2021","3749918573",Y,경기도교육청,고등학교,2,0,0,0,4830.0000000000,887,577290,0,0,0,0,0,0,156655,420635,1
"2021","3756586459",Y,경기도교육청,고등학교,2,0,0,0,4810.0000000000,959,584727,0,0,0,0,0,0,117804,448063,1
"2021","3769646656",Y,경기도교육청,고등학교,2,0,0,0,5090.0000000000,823,566641,0,0,0,0,0,0,142911,546456,1
"2021","3796444972",Y,경기도교육청,고등학교,2,0,0,0,4790.0000000000,1026,712847,0,0,0,0,0,0,160335,552512,1
