SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,충청북도 청주시 상당구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,30000000,41200000,0,126617000,9000000,S110000141,7083259000,M100000001,12,특성화고등학교,N,대성여자상업고등학교,
고,사립,4,충청북도 충주시,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,27000000,33359000,0,486104000,51830000,S110000143,6345873000,M100000001,12,일반고등학교,N,충주대원고등학교,
,사립,4,충청북도 음성군,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,30000000,2256000,0,470359000,130170000,S110000144,4273830000,M100000001,12,일반고등학교,N,매괴고등학교,
고,사립,4,충청북도 보은군,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,45000000,6600000,0,196938000,87000000,S110000151,3296714000,M100000001,12,일반고등학교,N,보은고등학교,
고,사립,4,충청북도 청주시 서원구,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,0,21944000,0,1265627000,15000000,S110000161,7237086000,M100000001,12,일반고등학교,N,세광고등학교,
,사립,4,충청북도 제천시,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,45000000,8156000,0,392731000,63000000,S110000162,5643465000,M100000001,12,일반고등학교,N,세명고등학교,
고,사립,4,충청북도 청주시 청원구,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,1000000,29500000,0,508470000,275000000,S110000164,10330391000,M100000001,12,일반고등학교,N,청주신흥고등학교,
,사립,4,충청북도 청주시 흥덕구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,25000000,2040000,0,535950000,0,S110000167,2371359000,M100000001,12,특성화고등학교,N,양업고등학교,
,사립,4,충청북도 영동군,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,40000000,7900000,0,145610000,500000,S110000173,6619547000,M100000001,12,특성화고등학교,N,영동미래고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,60000000,15740000,0,599840000,13000000,S110000181,6759137000,M100000001,12,일반고등학교,N,운호고등학교,
고,사립,4,충청북도 청주시 상당구,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,25000000,6540000,0,862640000,10000000,S110000187,7061722000,M100000001,12,일반고등학교,N,일신여자고등학교,
,사립,4,충청북도 충주시,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,41500000,9047000,0,781398000,8653000,S110000198,4930476000,M100000001,12,일반고등학교,N,충주중산고등학교,
고,사립,4,충청북도 청주시 상당구,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,30000000,8500000,0,683347000,9000000,S110000211,6618863000,M100000001,12,일반고등학교,N,청석고등학교,
,사립,4,충청북도 청주시 청원구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,45000000,5500000,0,670040000,9000000,S110000217,6748254000,M100000001,12,일반고등학교,N,청주대성고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,61000000,45600000,0,92089000,13500000,S110000223,5575067000,M100000001,12,특성화고등학교,N,청주여자상업고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,275314000,17432000,0,455270000,13500000,S110000235,6500712000,M100000001,12,일반고등학교,N,충북여자고등학교,
고,사립,4,충청북도 충주시,4.0,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,20500000,13650000,0,357787000,4992000,S110000241,2942839000,M100000001,12,일반고등학교,N,충원고등학교,
,사립,4,충청북도 충주시,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,44000000,36753000,0,523783000,3500000,S110000246,5597508000,M100000001,12,특성화고등학교,N,충주상업고등학교,
,사립,4,충청북도 충주시,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,40200000,15600000,0,508913000,17533000,S110000249,5635283000,M100000001,12,특성화고등학교,N,한림디자인고등학교,
,사립,4,충청북도 청주시 서원구,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,50700000,9953000,0,56258000,4183000,S110000257,4978237000,M100000001,12,특성화고등학교,N,청주IT과학고등학교,
,사립,4,충청북도 증평군,,충청북도교육청,충청북도교육청,M100000001,N,복식부기,예산세입,2000,5001000,0,424373000,330755000,S110000258,3465033000,M100000001,12,일반고등학교,N,형석고등학교,
