"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","공시학년명","성별명","5등급학생수","4등급학생수","3등급학생수","2등급학생수","1등급학생수"
"2021",고등학교,경기도교육청,"6680349411",Y,"1학년",남자,3,44,59,5,0
"2021",고등학교,경기도교육청,"6723471976",Y,"1학년",남자,1,32,67,22,1
"2021",고등학교,경기도교육청,"6922611595",Y,"1학년",남자,2,28,69,67,5
"2021",고등학교,경기도교육청,"7211546318",Y,"1학년",남자,0,19,76,79,17
"2021",고등학교,경기도교육청,"7508516029",Y,"1학년",남자,1,8,23,37,5
"2021",고등학교,경기도교육청,"7607482767",Y,"1학년",남자,19,86,20,0,0
"2021",고등학교,경기도교육청,"7634304023",Y,"1학년",남자,3,5,2,0,0
"2021",고등학교,경기도교육청,"7761854897",Y,"1학년",남자,3,11,17,12,3
"2021",고등학교,경기도교육청,"7779300407",Y,"1학년",남자,0,2,5,4,0
"2021",고등학교,경기도교육청,"7891541245",Y,"1학년",남자,84,174,29,0,0
"2021",고등학교,경기도교육청,"8646557147",Y,"1학년",남자,3,38,47,23,0
"2021",고등학교,경기도교육청,"8687142944",Y,"1학년",남자,0,28,44,25,0
"2021",고등학교,경기도교육청,"8737679278",Y,"1학년",남자,4,5,7,10,1
"2021",고등학교,경기도교육청,"8962855992",Y,"1학년",남자,3,19,38,33,9
"2021",고등학교,경기도교육청,"9053586242",Y,"1학년",남자,11,35,54,30,6
"2021",고등학교,경기도교육청,"9057539053",Y,"1학년",남자,0,0,0,1,0
"2021",고등학교,경기도교육청,"9111230061",Y,"1학년",남자,2,20,46,23,0
"2021",고등학교,경기도교육청,"9221244559",Y,"1학년",남자,0,2,1,0,0
"2021",고등학교,경기도교육청,"9297712856",Y,"1학년",남자,81,69,0,0,0
"2021",고등학교,경기도교육청,"9314898037",Y,"1학년",남자,18,83,61,6,0
"2021",고등학교,경기도교육청,"9461551765",Y,"1학년",남자,0,0,1,0,0
"2021",고등학교,경기도교육청,"9503860356",Y,"1학년",남자,0,29,94,64,6
"2021",고등학교,경기도교육청,"9537681002",Y,"1학년",남자,4,18,76,74,9
"2021",고등학교,경기도교육청,"9590276243",Y,"1학년",남자,5,40,52,51,1
"2021",고등학교,경기도교육청,"9842406446",Y,"1학년",남자,0,0,7,17,10
"2021",고등학교,경기도교육청,"9876719467",Y,"1학년",남자,1,31,47,25,2
"2021",고등학교,경기도교육청,"9921957523",Y,"1학년",남자,4,38,67,35,1
"2021",중학교,경기도교육청,"1098030183",Y,"1학년",남자,3,28,69,48,0
"2021",중학교,경기도교육청,"1317623614",Y,"1학년",남자,0,2,4,15,16
"2021",중학교,경기도교육청,"1595854083",Y,"1학년",남자,1,4,20,16,4
"2021",중학교,경기도교육청,"1899780135",Y,"1학년",남자,5,24,56,37,6
"2021",중학교,경기도교육청,"2308953919",Y,"1학년",남자,0,0,5,2,0
"2021",중학교,경기도교육청,"2320417491",Y,"1학년",남자,2,33,44,38,4
"2021",중학교,경기도교육청,"2512851197",Y,"1학년",남자,0,0,0,1,0
"2021",중학교,경기도교육청,"2556050433",Y,"1학년",남자,6,27,42,38,4
"2021",중학교,경기도교육청,"2876135175",Y,"1학년",남자,0,9,43,30,3
"2021",중학교,경기도교육청,"3240607741",Y,"1학년",남자,0,4,3,4,1
"2021",중학교,경기도교육청,"3467102586",Y,"1학년",남자,10,45,37,19,2
"2021",중학교,경기도교육청,"3752773954",Y,"1학년",남자,1,10,18,7,0
"2021",중학교,경기도교육청,"3961405348",Y,"1학년",남자,3,27,42,13,6
"2021",중학교,경기도교육청,"4221743560",Y,"1학년",남자,3,10,10,9,2
"2021",중학교,경기도교육청,"4995968833",Y,"1학년",남자,1,1,6,0,0
"2021",중학교,경기도교육청,"5022338801",Y,"1학년",남자,1,5,5,0,0
"2021",중학교,경기도교육청,"5149309922",Y,"1학년",남자,90,6,0,0,0
"2021",중학교,경기도교육청,"5168753304",Y,"1학년",남자,6,23,51,26,4
"2021",중학교,경기도교육청,"5566472023",Y,"1학년",남자,5,17,35,28,7
