"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","연간1인당보건실이용건수","보건실이용률","주간평균보건실이용학생수","전체보건실이용학생수","보건실이용_학교수"
"2021",고등학교,경기도교육청,"1049554518",Y,3.2000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1962,1
"2021",고등학교,경기도교육청,"1096577244",Y,2.9000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,3097,1
"2021",고등학교,경기도교육청,"1250428309",Y,2.9000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,2527,1
"2021",고등학교,경기도교육청,"1250955970",Y,2.6000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,2364,1
"2021",고등학교,경기도교육청,"1270588994",Y,2.1000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,2638,1
"2021",고등학교,경기도교육청,"1272224199",Y,0.5000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,349,1
"2021",고등학교,경기도교육청,"1291755465",Y,2.0000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1966,1
"2021",고등학교,경기도교육청,"1331466047",Y,3.4000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1029,1
"2021",고등학교,경기도교육청,"1386060250",Y,3.5000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,2595,1
"2021",고등학교,경기도교육청,"1386242836",Y,4.0000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,4341,1
"2021",고등학교,경기도교육청,"1387835551",Y,1.8000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1874,1
"2021",고등학교,경기도교육청,"1387954142",Y,1.9000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1505,1
"2021",고등학교,경기도교육청,"1447264286",Y,2.1000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1219,1
"2021",고등학교,경기도교육청,"1501546860",Y,5.6000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,2191,1
"2021",고등학교,경기도교육청,"1588328892",Y,2.2000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1909,1
"2021",고등학교,경기도교육청,"1591036115",Y,1.8000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1583,1
"2021",고등학교,경기도교육청,"1616623385",Y,4.8000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,4873,1
"2021",고등학교,경기도교육청,"1680879493",Y,1.7000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1186,1
"2021",고등학교,경기도교육청,"1684054401",Y,4.3000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,1953,1
"2021",고등학교,경기도교육청,"1684292737",Y,1.5000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,665,1
"2021",고등학교,경기도교육청,"1756276950",Y,4.4000000000000000000000000,0.00000000000000000000000000,0.00000000000000000000000,4833,1
