정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,43690090
,교직원보수,0
,기타 교직원 보수,28853410
,교직원 복지 및 역량강화,14836680
학생복지/교육격차 해소,학생복지/교육격차 해소,477690920
,급식 관리,365315500
,기숙사 관리,0
,보건관리,46435870
,교육격차 해소,45963000
,학생복지,19976550
기본적 교육활동,기본적 교육활동,417496650
,교과 활동,258214190
,창의적 체험활동,146282460
,자유학기(년) 활동,13000000
선택적 교육활동,선택적 교육활동,183860710
,방과후학교 운영,1160
,직업교육,0
,국제교육,0
,독서활동,14450440
,교기육성,168206230
,기타 선택적 교육활동,1202880
교육활동 지원,교육활동 지원,290906640
,교무업무 운영,8208280
,생활지도 운영,37783260
,연구학교 운영,0
,학습지원실 운영,16014400
,교육여건 개선,228900700
학교 일반운영,학교 일반운영,222900590
,학교기관운영,55548270
,시설 장비 유지,164475720
,학교운영 협력,2876600
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,22678630
,반환금,22678630
,예비비,0
세출합계,세출합계,1659224230
