과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,3531874261
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,16200000
,,국고보조금,국고보조금,16200000
,,,국고보조금,16200000
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,57225180
,,비법정이전수입,비법정이전수입,7587240
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,7587240
,,교육경비보조금,교육경비보조금,49637940
,,,광역지방자치단체전입금,34500000
,,,기초지방자치단체전입금,15137940
,지방교육행정기관이전수입,지방교육행정기관이전수입,지방교육행정기관이전수입,1922413930
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1922413930
,,,사립학교보조금수입,1922413930
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,1536035151
,,사학법인이전수입,사학법인이전수입,1527415151
,,,법인법정부담금,496908200
,,,법인이전수입,1030506951
,,학교회계간이전수입,학교회계간이전수입,0
,,,학교발전기금전입금,0
,,,다른학교회계전입금,0
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,8620000
,,,기타공공지원금,8620000
자체수입,자체수입,자체수입,자체수입,9675275097
,학부모부담수입,학부모부담수입,학부모부담수입,9211408560
,,등록금,등록금,6741272800
,,,입학금,74000000
,,,수업료,5420584760
,,,학교운영지원비,1246688040
,,수익자부담수입,수익자부담수입,2470135760
,,,급식비,934794920
,,,방과후학교활동비,95240470
,,,현장체험학습비,96997710
,,,청소년단체활동비,0
,,,졸업앨범비,17150000
,,,교과서비,114973260
,,,기숙사비,1183653500
,,,기타수익자부담수입,27325900
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,0
,행정활동수입,행정활동수입,행정활동수입,463866537
,,사용료및수수료,사용료및수수료,401791267
,,,사용료및수수료,401791267
,,자산수입,자산수입,6416500
,,,자산매각대,6416500
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,55658770
,,,지난년도수입,0
,,,이자수입,39251471
,,,기타행정활동수입,16407299
기타수입,기타수입,기타수입,기타수입,86195539
,전년도이월금,전년도이월금,전년도이월금,86195539
,,순세계잉여금,순세계잉여금,45646339
,,,순세계잉여금,45646339
,,정산대상재원사용잔액,정산대상재원사용잔액,4721290
,,,정산대상재원사용잔액,4721290
,,이월금,이월금,35827910
,,,이월사업비,35827910
세입합계,세입합계,세입합계,세입합계,13293344897
