과목,과목,과목,과목,금액
장,관,항,목,금액
이전수입,이전수입,이전수입,이전수입,3334499146
,중앙정부이전수입,중앙정부이전수입,중앙정부이전수입,0
,,국고보조금,국고보조금,0
,,,국고보조금,0
,지방자치단체이전수입,지방자치단체이전수입,지방자치단체이전수입,139472975
,,비법정이전수입,비법정이전수입,9532600
,,,광역지방자치단체전입금,0
,,,기초지방자치단체전입금,9532600
,,교육경비보조금,교육경비보조금,129940375
,,,광역지방자치단체전입금,16983430
,,,기초지방자치단체전입금,112956945
,지방교육자치단체이전수입,지방교육자치단체이전수입,지방교육자치단체이전수입,1543529141
,,교육비특별회계전입금수입,교육비특별회계전입금수입,1543529141
,,,사립학교보조금수입,1543529141
,,기금회계전입금수입,기금회계전입금수입,0
,,,기금회계전입금,0
,기타이전수입,기타이전수입,기타이전수입,1651497030
,,사학법인이전수입,사학법인이전수입,1582551130
,,,법인법정부담금,477390380
,,,법인이전수입,1105160750
,,학교회계간이전수입,학교회계간이전수입,65145900
,,,학교발전기금전입금,59775900
,,,다른학교회계전입금,5370000
,,,기타학교회계전입금,0
,,기타공공이전수입,기타공공이전수입,3800000
,,,기타공공지원금,3800000
자체수입,자체수입,자체수입,자체수입,8278533528
,학부모부담수입,학부모부담수입,학부모부담수입,8013240497
,,등록금,등록금,6242224140
,,,입학금,15566700
,,,수업료,4980373740
,,,학교운영지원비,1246283700
,,수익자부담수입,수익자부담수입,1771016357
,,,급식비,610521370
,,,방과후학교활동비,76352387
,,,현장체험학습비,0
,,,청소년단체활동비,0
,,,졸업앨범비,16752000
,,,교과서비,96028910
,,,기숙사비,951040150
,,,기타수익자부담수입,20321540
,,,누리과정비,0
,,,교복구입비,0
,,,운동부운영비,0
,,,돌봄활동운영비,0
,행정활동수입,행정활동수입,행정활동수입,265293031
,,사용료및수수료,사용료및수수료,232906250
,,,사용료및수수료,232906250
,,자산수입,자산수입,3569000
,,,자산매각대,3569000
,,적립금처분수입,적립금처분수입,0
,,,적립금처분수입,0
,,보증금회수,보증금회수,0
,,,보증금회수,0
,,기타행정활동수입,기타행정활동수입,28817781
,,,지난년도수입,0
,,,이자수입,20718558
,,,기타행정활동수입,8099223
기타수입,기타수입,기타수입,기타수입,118859507
,전년도이월금,전년도이월금,전년도이월금,118859507
,,순세계잉여금,순세계잉여금,72779477
,,,순세계잉여금,72779477
,,정산대상재원사용잔액,정산대상재원사용잔액,1649800
,,,정산대상재원사용잔액,1649800
,,이월금,이월금,44430230
,,,이월사업비,44430230
세입합계,세입합계,세입합계,세입합계,11731892181
