SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,46000000,복식부기,예산세출,748909000,72481000,22542000,131020000,145362000,S010000414,6443868000,9264211.7,B100000001,1,일반고등학교,N,대진고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,35000000,N,10000000,복식부기,예산세출,594241000,124144000,24520000,172700000,381992000,S010000415,7497375000,10114384.4,B100000001,1,일반고등학교,N,대진여자고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,20000000,N,20000000,복식부기,예산세출,460067000,112514000,17900000,192645000,217696000,S010000416,6269785000,13078008.9,B100000001,1,특성화고등학교,N,대진디자인고등학교
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,90000000,복식부기,예산세출,500850000,181590000,187600000,84370000,302982000,S010000417,4369837000,9465610.9,B100000001,1,일반고등학교,N,덕성여자고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,498778000,216708000,35720000,145907000,111047000,S010000418,6740134000,8054359.7,B100000001,1,일반고등학교,N,덕원여자고등학교
,사립,4,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,68200000,복식부기,예산세출,640542000,165577000,522100000,163714000,373097000,S010000420,5985818000,8654697.3,B100000001,1,일반고등학교,N,동국대학교사범대학부속고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,50000000,N,3000000,복식부기,예산세출,609415000,63035000,17207000,28485000,1062675000,S010000421,6856187000,9742157.0,B100000001,1,일반고등학교,N,동덕여자고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,15000000,N,0,복식부기,예산세출,469651000,187310000,91200000,107700000,335556000,S010000422,6398932000,8731744.0,B100000001,1,일반고등학교,N,동명여자고등학교
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,2000000,N,0,복식부기,예산세출,373627000,325658000,545670000,276915000,495492000,S010000423,6983614000,8913837.6,B100000001,1,일반고등학교,N,동북고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,100000000,복식부기,예산세출,366940000,59677000,171600000,289907000,2927954000,S010000424,4024476000,13458566.1,B100000001,1,일반고등학교,N,동성고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,30000000,복식부기,예산세출,316263000,162927000,107820000,74336000,899763000,S010000425,5106902000,11042851.7,B100000001,1,일반고등학교,N,동일여자고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,20000000,N,25000000,복식부기,예산세출,392753000,120380000,27360000,53331000,182721000,S010000426,5356002000,10762277.0,B100000001,1,특성화고등학교,N,서울매그넷고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,298604000,185273000,44827000,114942000,219213000,S010000429,5217865000,7886801.6,B100000001,1,일반고등학교,N,마포고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,253608000,177163000,16000000,171130000,5645451000,S010000431,5976390000,16473407.8,B100000001,1,일반고등학교,N,명덕고등학교
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,445352000,251098000,17210000,113483000,317389000,S010000432,7548970000,8676149.7,B100000001,1,일반고등학교,N,명덕여자고등학교
고,사립,4,서울특별시 광진구,4.0,서울특별시교육청,서울특별시교육청,B100000001,1000000,N,0,복식부기,예산세출,466688000,147757000,91020000,123460000,155020000,S010000433,5107630000,10053754.1,B100000001,1,일반고등학교,N,동국대학교사범대학부속가람고등학교
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,505133000,116987000,20241000,264696000,147226000,S010000435,7550191000,6850695.9,B100000001,1,일반고등학교,N,명지고등학교
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,5000000,N,30000000,복식부기,예산세출,324763000,211013000,8250000,57557000,94707000,S010000437,5130468000,10123934.4,B100000001,1,일반고등학교,N,서울문영여자고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,572306000,175946000,4400000,58320000,193174000,S010000438,5689721000,8123625.0,B100000001,1,일반고등학교,N,문일고등학교
고,사립,4,서울특별시 관악구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,25466000,복식부기,예산세출,381507000,166889000,550000,96760000,162366000,S010000439,3527785000,8792989.9,B100000001,1,일반고등학교,N,미림여자고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,10500000,N,100000000,복식부기,예산세출,415530000,252496000,871300000,389459000,918905000,S010000441,5809165000,10704951.2,B100000001,1,일반고등학교,N,배명고등학교
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,2000000,N,20000000,복식부기,예산세출,330116000,105976000,69380000,80080000,353675000,S010000442,4093133000,14441028.6,B100000001,1,일반고등학교,N,배문고등학교
,사립,4,서울특별시 강동구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,811089000,204430000,1012175000,648026000,1881395000,S010000443,7114885000,9543744.9,B100000001,1,자율고등학교,N,배재고등학교
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,62100000,복식부기,예산세출,366821000,161173000,97300000,59090000,304496000,S010000444,5144540000,11960463.3,B100000001,1,일반고등학교,N,배화여자고등학교
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,복식부기,예산세출,460021000,83740000,38760000,59618000,105288000,S010000445,6036739000,7008436.0,B100000001,1,일반고등학교,N,백암고등학교
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,21000000,N,0,복식부기,예산세출,479907000,137318000,209262000,114352000,214211000,S010000446,6268351000,9352262.6,B100000001,1,일반고등학교,N,보성고등학교
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,10000000,N,5000000,복식부기,예산세출,328437000,153729000,25010000,148436000,72048000,S010000447,3691017000,11196154.0,B100000001,1,일반고등학교,N,보성여자고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,80000000,복식부기,예산세출,338174000,192255000,18940000,98323000,104339000,S010000450,3859133000,11090222.2,B100000001,1,일반고등학교,N,상명대학교사범대학부속여자고등학교
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,1000,N,21000000,복식부기,예산세출,468980000,109907000,109450000,85412000,1123773000,S010000451,5246196000,8549784.0,B100000001,1,일반고등학교,N,상명고등학교
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,20000000,N,0,복식부기,예산세출,795035000,223528000,20200000,94162000,165452000,S010000452,6413076000,6934038.6,B100000001,1,일반고등학교,N,상문고등학교
