SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,7747000,0,222332000,575838000,S010000417,4929013000,B100000001,1,일반고등학교,N,덕성여자고등학교,
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,36369000,29992000,0,0,107733000,S010000418,7392832000,B100000001,1,일반고등학교,N,덕원여자고등학교,
,사립,4,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,44030000,0,0,111000000,S010000420,6899575000,B100000001,1,일반고등학교,N,동국대학교사범대학부속고등학교,
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,70000000,8730000,0,72168000,415481000,S010000421,8732383000,B100000001,1,일반고등학교,N,동덕여자고등학교,
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,36000000,19960000,0,456132000,83831000,S010000422,7468502000,B100000001,1,일반고등학교,N,동명여자고등학교,
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,30510000,0,811200000,320000000,S010000423,7896054000,B100000001,1,일반고등학교,N,동북고등학교,
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,68020000,0,1522985000,1939032000,S010000424,3424864000,B100000001,1,일반고등학교,N,동성고등학교,
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,128000000,42540000,0,107920000,709960000,S010000425,6254034000,B100000001,1,일반고등학교,N,동일여자고등학교,
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,60000000,44870000,0,53960000,10000000,S010000426,5816717000,B100000001,1,특성화고등학교,N,서울매그넷고등학교,
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,14154000,0,80398000,2000000,S010000429,6191967000,B100000001,1,일반고등학교,N,마포고등학교,
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,33530000,0,669737000,5168876000,S010000431,6566097000,B100000001,1,일반고등학교,N,명덕고등학교,
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,39100000,0,466000000,3000000,S010000432,8536170000,B100000001,1,일반고등학교,N,명덕여자고등학교,
고,사립,4,서울특별시 광진구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,8100000,0,44880000,100550000,S010000433,6221693000,B100000001,1,일반고등학교,N,동국대학교사범대학부속가람고등학교,
고,사립,4,서울특별시 서대문구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,31000000,18228000,0,92647000,0,S010000435,8820033000,B100000001,1,일반고등학교,N,명지고등학교,
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,5000000,18100000,0,120616000,144823000,S010000437,5712157000,B100000001,1,일반고등학교,N,서울문영여자고등학교,
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,10340000,0,136560000,20000000,S010000438,6802347000,B100000001,1,일반고등학교,N,문일고등학교,
고,사립,4,서울특별시 관악구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,5750000,0,82800000,58813000,S010000439,4370438000,B100000001,1,일반고등학교,N,미림여자고등학교,
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,36500000,36030000,0,1401850000,433912000,S010000441,7287802000,B100000001,1,일반고등학교,N,배명고등학교,
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,22000000,36348000,0,127700000,230804000,S010000442,4650488000,B100000001,1,일반고등학교,N,배문고등학교,
,사립,4,서울특별시 강동구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,50000000,437842000,0,11252676000,721482000,S010000443,0,B100000001,1,자율고등학교,N,배재고등학교,
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,12200000,0,293000000,23000000,S010000444,5425643000,B100000001,1,일반고등학교,N,배화여자고등학교,
고,사립,4,서울특별시 양천구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,5000000,49200000,0,0,26500000,S010000445,6947093000,B100000001,1,일반고등학교,N,백암고등학교,
고,사립,4,서울특별시 송파구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,45000000,61100000,0,261200000,1000000,S010000446,7591147000,B100000001,1,일반고등학교,N,보성고등학교,
고,사립,4,서울특별시 용산구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,11000000,0,0,74767000,S010000447,4391054000,B100000001,1,일반고등학교,N,보성여자고등학교,
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,22100000,0,49446000,20000000,S010000450,4925211000,B100000001,1,일반고등학교,N,상명대학교사범대학부속여자고등학교,
고,사립,4,서울특별시 노원구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,45000000,20498000,0,289560000,632198000,S010000451,6681724000,B100000001,1,일반고등학교,N,상명고등학교,
고,사립,4,서울특별시 서초구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,302990000,0,0,260000000,S010000452,7658028000,B100000001,1,일반고등학교,N,상문고등학교,
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,47030000,0,0,22770000,S010000453,6516576000,B100000001,1,일반고등학교,N,상일여자고등학교,
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,23000000,23645000,0,481975000,0,S010000454,8105380000,B100000001,1,일반고등학교,N,서라벌고등학교,
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,292825000,0,137700000,242000000,S010000455,7064475000,B100000001,1,일반고등학교,N,서문여자고등학교,
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,30000000,32460000,0,1634600000,1980000,S010000458,3847178000,B100000001,1,일반고등학교,N,서울미술고등학교,
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,35000000,12713000,0,0,1000000,S010000459,5163196000,B100000001,1,일반고등학교,N,서울세종고등학교,
,사립,4,서울특별시 도봉구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,900000000,39560000,0,6992092000,0,S010000465,0,B100000001,1,자율고등학교,N,선덕고등학교,
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,52000000,16060000,0,0,1000000,S010000466,6816078000,B100000001,1,일반고등학교,N,선일여자고등학교,
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,320100000,0,0,836330000,S010000467,8514323000,B100000001,1,일반고등학교,N,선정고등학교,
고,사립,4,서울특별시 동작구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,250221000,0,0,50000000,S010000468,7742468000,B100000001,1,일반고등학교,N,성남고등학교,
,사립,4,서울특별시 관악구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,10000000,28478000,0,0,482109000,S010000470,5433675000,B100000001,1,일반고등학교,N,성보고등학교,
고,사립,4,서울특별시 성북구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,40000000,7100000,0,71335000,10000000,S010000471,5807974000,B100000001,1,일반고등학교,N,성신여자고등학교,
,사립,4,서울특별시 용산구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,20000000,22769000,0,71000000,20000000,S010000472,5261427000,B100000001,1,일반고등학교,N,성심여자고등학교,
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,예산세입,0,32408000,0,7416830000,480221000,S010000473,0,B100000001,1,자율고등학교,N,세화고등학교,
