SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,918689610,미지정,결산세출,554713290,563506423,177861830,448172416,1500950030,S010000413,5708164900,9872058.5,B100000001,1,일반고등학교,N,대일고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,209815100,미지정,결산세출,985342066,1961750636,63205030,533741909,1294879430,S010000414,7036636900,15454438.7,B100000001,1,일반고등학교,N,대진고등학교
,사립,4,서울특별시 노원구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,1170249910,미지정,결산세출,588800865,219581930,102623970,534314860,1510634870,S010000415,7570206640,13858309.3,B100000001,1,일반고등학교,N,대진여자고등학교
,사립,4,서울특별시 강남구,,서울특별시교육청,서울특별시교육청,B100000001,49794661,N,2588201830,복식부기,결산세출,483092829,345354700,601948483,1301078448,789715339,S010000416,6452757830,25023698.7,B100000001,1,특성화고등학교,N,대진디자인고등학교
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,미지정,결산세출,414361405,740112253,230724767,500407588,1102208447,S010000417,4708819610,12576199.5,B100000001,1,일반고등학교,N,덕성여자고등학교
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,7063030,N,752462750,미지정,결산세출,608298694,1261470478,254094270,387503709,2539612720,S010000418,7218126540,14238942.3,B100000001,1,일반고등학교,N,덕원여자고등학교
,사립,4,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,0,N,4173962106,복식부기,결산세출,694745775,490985280,774706936,501948124,1325825884,S010000420,5833497510,14962767.5,B100000001,1,일반고등학교,N,동국대학교사범대학부속고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,149601279,N,1736969460,미지정,결산세출,623076959,447141289,72588040,288370593,1550955490,S010000421,6869017890,13491633.3,B100000001,1,일반고등학교,N,동덕여자고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,2731880,N,2059905126,미지정,결산세출,438195863,1013504880,113222540,739345159,1416364103,S010000422,6441984470,14265173.9,B100000001,1,일반고등학교,N,동명여자고등학교
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,0,N,0,미지정,결산세출,1688604510,648130700,655091750,545322670,1667059327,S010000423,7041027350,12768755.3,B100000001,1,일반고등학교,N,동북고등학교
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,49373460,N,656211488,미지정,결산세출,649861288,245075578,283598743,563565182,2793143605,S010000424,5386544843,18710165.8,B100000001,1,일반고등학교,N,동성고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,199520260,N,4092603350,미지정,결산세출,414668690,414176140,195223380,330937140,1474357320,S010000425,5242849130,19878352.7,B100000001,1,일반고등학교,N,동일여자고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,33029892,N,634956580,미지정,결산세출,412874430,497287230,1208464390,482476133,868469989,S010000426,5158589370,20750330.4,B100000001,1,특성화고등학교,N,서울매그넷고등학교
