SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM
고,사립,4,서울특별시 종로구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,106346357,7922748,0,162315870,533580580,S010000417,7006136940,B100000001,1,일반고등학교,N,덕성여자고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,181776502,27626818,0,154769420,1147664955,S010000418,9728553530,B100000001,1,일반고등학교,N,덕원여자고등학교
,사립,4,서울특별시 동대문구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,257395220,10273481,0,613867690,108093000,S010000420,10215734570,B100000001,1,일반고등학교,N,동국대학교사범대학부속고등학교
,사립,4,서울특별시 서초구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,590744903,5396982,0,111631970,245334270,S010000421,9026577100,B100000001,1,일반고등학교,N,동덕여자고등학교
,사립,4,서울특별시 은평구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,298138143,17460892,0,108260870,227874162,S010000422,9849137540,B100000001,1,일반고등학교,N,동명여자고등학교
고,사립,4,서울특별시 강동구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,123148251,30143245,0,626055040,278149440,S010000423,9509615590,B100000001,1,일반고등학교,N,동북고등학교
,사립,4,서울특별시 종로구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,187419438,36143634,0,4960484251,2343718010,S010000424,2105738467,B100000001,1,일반고등학교,N,동성고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,288119060,59660483,0,112390870,516358070,S010000425,8193595060,B100000001,1,일반고등학교,N,동일여자고등학교
,사립,4,서울특별시 금천구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,254787518,93228655,0,100358420,35000000,S010000426,12178437090,B100000001,1,특성화고등학교,N,서울매그넷고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,140601852,27467274,0,95194420,343314330,S010000429,9049868920,B100000001,1,일반고등학교,N,마포고등학교
,사립,4,서울특별시 강서구,,서울특별시교육청,서울특별시교육청,B100000001,N,복식부기,결산세입,84457290,10720624,0,494468270,3265931056,S010000431,9381643810,B100000001,1,일반고등학교,N,명덕고등학교
고,사립,4,서울특별시 강서구,4.0,서울특별시교육청,서울특별시교육청,B100000001,N,미지정,결산세입,165561810,4696155,0,381021760,4220000,S010000432,12496231730,B100000001,1,일반고등학교,N,명덕여자고등학교
