정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,8212000
,교직원보수,0
,기타 교직원 보수,0
,교직원 복지 및 역량강화,8212000
학생복지/교육격차 해소,학생복지/교육격차 해소,258726000
,급식 관리,132970000
,기숙사 관리,0
,보건관리,46734000
,교육격차 해소,0
,학생복지,79022000
기본적 교육활동,기본적 교육활동,164599000
,교과 활동,64750000
,창의적 체험활동,99849000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,306707000
,방과후학교 운영,189800000
,직업교육,0
,국제교육,0
,독서활동,19284000
,교기육성,96423000
,기타 선택적 교육활동,1200000
교육활동 지원,교육활동 지원,89380000
,교무업무 운영,20650000
,생활지도 운영,24850000
,연구학교 운영,7500000
,학습지원실 운영,17780000
,교육여건 개선,18600000
학교 일반운영,학교 일반운영,269975000
,학교기관운영,97732000
,시설 장비 유지,167363000
,학교운영 협력,4880000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,3290000
,반환금,0
,예비비,3290000
세출합계,세출합계,1100889000
