정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,18152000
,교직원보수,0
,기타 교직원 보수,200000
,교직원 복지 및 역량강화,17952000
학생복지/교육격차 해소,학생복지/교육격차 해소,382562000
,급식 관리,323946000
,기숙사 관리,0
,보건관리,25361000
,교육격차 해소,0
,학생복지,33255000
기본적 교육활동,기본적 교육활동,122780000
,교과 활동,49730000
,창의적 체험활동,73050000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,107049000
,방과후학교 운영,41500000
,직업교육,0
,국제교육,0
,독서활동,18010000
,교기육성,43439000
,기타 선택적 교육활동,4100000
교육활동 지원,교육활동 지원,63896000
,교무업무 운영,12788000
,생활지도 운영,20800000
,연구학교 운영,0
,학습지원실 운영,7968000
,교육여건 개선,22340000
학교 일반운영,학교 일반운영,212266000
,학교기관운영,60932000
,시설 장비 유지,148374000
,학교운영 협력,2960000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,6454000
,반환금,0
,예비비,6454000
세출합계,세출합계,913159000
