정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,8230000
,교직원보수,0
,기타 교직원 보수,5640000
,교직원 복지 및 역량강화,2590000
학생복지/교육격차 해소,학생복지/교육격차 해소,42831000
,급식 관리,28521000
,기숙사 관리,0
,보건관리,3035000
,교육격차 해소,0
,학생복지,11275000
기본적 교육활동,기본적 교육활동,32573000
,교과 활동,13192000
,창의적 체험활동,19381000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,16455000
,방과후학교 운영,9905000
,직업교육,0
,국제교육,0
,독서활동,6550000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,39170000
,교무업무 운영,18980000
,생활지도 운영,1700000
,연구학교 운영,0
,학습지원실 운영,5190000
,교육여건 개선,13300000
학교 일반운영,학교 일반운영,89045000
,학교기관운영,37203000
,시설 장비 유지,47642000
,학교운영 협력,4200000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,1646000
,반환금,0
,예비비,1646000
세출합계,세출합계,229950000
