정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,53560000
,교직원보수,0
,기타 교직원 보수,45160000
,교직원 복지 및 역량강화,8400000
학생복지/교육격차 해소,학생복지/교육격차 해소,1127447000
,급식 관리,982268000
,기숙사 관리,0
,보건관리,75989000
,교육격차 해소,0
,학생복지,69190000
기본적 교육활동,기본적 교육활동,284234000
,교과 활동,195359000
,창의적 체험활동,88875000
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,966366000
,방과후학교 운영,680562000
,직업교육,0
,국제교육,0
,독서활동,58467000
,교기육성,176417000
,기타 선택적 교육활동,50920000
교육활동 지원,교육활동 지원,119964000
,교무업무 운영,52659000
,생활지도 운영,21551000
,연구학교 운영,0
,학습지원실 운영,30424000
,교육여건 개선,15330000
학교 일반운영,학교 일반운영,296029000
,학교기관운영,165982000
,시설 장비 유지,124287000
,학교운영 협력,5760000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,1000000
,반환금,0
,예비비,1000000
세출합계,세출합계,2848600000
