정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,51148780
,교직원보수,0
,기타 교직원 보수,43807040
,교직원 복지 및 역량강화,7341740
학생복지/교육격차 해소,학생복지/교육격차 해소,1086373060
,급식 관리,779290480
,기숙사 관리,0
,보건관리,131941730
,교육격차 해소,0
,학생복지,175140850
기본적 교육활동,기본적 교육활동,470701310
,교과 활동,378705050
,창의적 체험활동,91996260
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,770093670
,방과후학교 운영,491329780
,직업교육,0
,국제교육,6250450
,독서활동,58166740
,교기육성,159131440
,기타 선택적 교육활동,55215260
교육활동 지원,교육활동 지원,603276820
,교무업무 운영,46106880
,생활지도 운영,24961330
,연구학교 운영,0
,학습지원실 운영,160270640
,교육여건 개선,371937970
학교 일반운영,학교 일반운영,361638770
,학교기관운영,183641620
,시설 장비 유지,166114360
,학교운영 협력,11882790
학교시설 확충,학교시설 확충,6000000
,시설확충 및 개선,6000000
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,3349232410
