SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,AMT8,PBAN_EXCP_YN,AMT7,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,YESAN_PER_HEAD,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
,사립,4,경상남도 창원시 마산합포구,,경상남도교육청,경상남도교육청,S100000001,5200000,N,0,복식부기,예산세출,375485000,114509000,184315000,150176000,846584000,S160000561,3523011000,13539791.7,S100000001,17,일반고등학교,N,마산중앙고등학교,
고,사립,4,경상남도 함안군,4.0,경상남도교육청,경상남도교육청,S100000001,5000000,N,0,복식부기,예산세출,215685000,114160000,23300000,294826000,1368224000,S160000562,3055193000,14380702.5,S100000001,17,일반고등학교,N,명덕고등학교,
,사립,4,경상남도 밀양시,,경상남도교육청,경상남도교육청,S100000001,6000000,N,567431000,복식부기,예산세출,253454000,109225000,28550000,205782000,1460063000,S160000565,3270904000,13202257.3,S100000001,17,일반고등학교,N,밀성고등학교,
,사립,4,경상남도 밀양시,,경상남도교육청,경상남도교육청,S100000001,5000000,N,0,복식부기,예산세출,306645000,82314000,27475000,159305000,330274000,S160000567,2720430000,16357851.4,S100000001,17,특성화고등학교,N,밀성제일고등학교,
,사립,4,경상남도 밀양시,,경상남도교육청,경상남도교육청,S100000001,10000000,N,0,복식부기,예산세출,160880000,108154000,36280000,136353000,713488000,S160000570,1863640000,13957580.6,S100000001,17,일반고등학교,N,밀양동명고등학교,
고,사립,4,경상남도 양산시,4.0,경상남도교육청,경상남도교육청,S100000001,0,N,25691000,복식부기,예산세출,228868000,102574000,77460000,162694000,955736000,S160000576,2542024000,12371743.2,S100000001,17,일반고등학교,N,보광고등학교,
,사립,4,경상남도 사천시,,경상남도교육청,경상남도교육청,S100000001,20000000,N,0,복식부기,예산세출,371565000,117063000,86100000,99514000,1521762000,S160000577,3937458000,10272891.5,S100000001,17,일반고등학교,N,사천고등학교,
고,사립,4,경상남도 사천시,4.0,경상남도교육청,경상남도교육청,S100000001,3000000,N,0,복식부기,예산세출,153329000,60762000,79575000,94486000,375526000,S160000580,1759606000,18306405.8,S100000001,17,특성화고등학교,N,사천여자고등학교,
고,사립,4,경상남도 밀양시,4.0,경상남도교육청,경상남도교육청,S100000001,5000000,N,66000000,복식부기,예산세출,179038000,121381000,70363000,67896000,1125609000,S160000588,1891012000,16101821.9,S100000001,17,일반고등학교,N,삼랑진고등학교,
,사립,4,경상남도 사천시,,경상남도교육청,경상남도교육청,S100000001,5000000,N,0,복식부기,예산세출,270548000,90448000,182391000,170972000,1049768000,S160000591,3668486000,13262470.7,S100000001,17,일반고등학교,N,삼천포고등학교,
