SCHUL_CRSE_SC_VALUE_NM,FOND_SC_CODE,SCHUL_KND_SC_CODE,ADRCD_NM,SCHUL_CRSE_SC_VALUE,JU_ORG_NM,ATPT_OFCDC_ORG_NM,JU_ORG_CODE,PBAN_EXCP_YN,FAS_DTN_SC_CODE,PBAN_REV_EX_SC_CODE,AMT6,AMT5,AMT4,AMT3,AMT2,SCHUL_CODE,AMT1,ATPT_OFCDC_ORG_CODE,LCTN_SC_CODE,HS_KND_SC_NM,BNHH_YN,SCHUL_NM,PBAN_EXCP_RSN
고,사립,4,경상남도 거제시,4.0,경상남도교육청,경상남도교육청,S100000001,N,미지정,결산세입,16202550,49015960,0,596578220,237188020,S160000464,8565981290,S100000001,17,일반고등학교,N,거제고등학교,
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,N,미지정,결산세입,59986710,1716500,0,974443200,172700420,S160000472,5138071060,S100000001,17,일반고등학교,N,거창고등학교,
,사립,4,경상남도 거창군,,경상남도교육청,경상남도교육청,S100000001,N,복식부기,결산세입,55518690,22601100,0,1966167600,97199300,S160000473,6949514460,S100000001,17,일반고등학교,N,거창대성고등학교,
,사립,4,경상남도 거창군,,경상남도교육청,경상남도교육청,S100000001,N,복식부기,결산세입,9801730,14424830,0,125427140,85500000,S160000475,5339487350,S100000001,17,일반고등학교,N,대성일고등학교,
고,사립,4,경상남도 거창군,4.0,경상남도교육청,경상남도교육청,S100000001,N,미지정,결산세입,35469230,5025150,0,253195600,136065000,S160000480,5867201590,S100000001,17,일반고등학교,N,거창중앙고등학교,
고,사립,4,경상남도 진주시,4.0,경상남도교육청,경상남도교육청,S100000001,N,복식부기,결산세입,2219980,51341150,0,1354785180,7410000,S160000485,5602617610,S100000001,17,특수목적고등학교,N,경남예술고등학교,
,사립,4,경상남도 양산시,,경상남도교육청,경상남도교육청,S100000001,N,미지정,결산세입,732174410,249871914,0,1929478720,14000000,S160000486,9952236820,S100000001,17,특수목적고등학교,N,경남외국어고등학교,
,사립,4,경상남도 창원시 의창구,,경상남도교육청,경상남도교육청,S100000001,N,미지정,결산세입,10926560,20162273,0,393117070,26034000,S160000492,7102172700,S100000001,17,일반고등학교,N,경상고등학교,
,사립,4,경상남도 진주시,,경상남도교육청,경상남도교육청,S100000001,N,복식부기,결산세입,10146020,24460190,0,242554970,24935170,S160000493,8501023510,S100000001,17,일반고등학교,N,경해여자고등학교,
,사립,4,경상남도 고성군,,경상남도교육청,경상남도교육청,S100000001,N,미지정,결산세입,26601668,4108930,0,356771330,110738000,S160000495,8129588840,S100000001,17,일반고등학교,N,고성고등학교,
