정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,9270000
,교직원보수,0
,기타 교직원 보수,5040000
,교직원 복지 및 역량강화,4230000
학생복지/교육격차 해소,학생복지/교육격차 해소,25990000
,급식 관리,12716000
,기숙사 관리,0
,보건관리,12454000
,교육격차 해소,0
,학생복지,820000
기본적 교육활동,기본적 교육활동,44152000
,교과 활동,18852000
,창의적 체험활동,20300000
,자유학기(년) 활동,5000000
선택적 교육활동,선택적 교육활동,13300000
,방과후학교 운영,3500000
,직업교육,0
,국제교육,0
,독서활동,9800000
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,28780000
,교무업무 운영,2900000
,생활지도 운영,6050000
,연구학교 운영,0
,학습지원실 운영,8430000
,교육여건 개선,11400000
학교 일반운영,학교 일반운영,118105000
,학교기관운영,26061000
,시설 장비 유지,91344000
,학교운영 협력,700000
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,239597000
