정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,9546000
,교직원보수,0
,기타 교직원 보수,8270000
,교직원 복지 및 역량강화,1276000
학생복지/교육격차 해소,학생복지/교육격차 해소,35080489
,급식 관리,25201800
,기숙사 관리,0
,보건관리,8956490
,교육격차 해소,0
,학생복지,922199
기본적 교육활동,기본적 교육활동,59500050
,교과 활동,21611390
,창의적 체험활동,32888660
,자유학기(년) 활동,5000000
선택적 교육활동,선택적 교육활동,22227940
,방과후학교 운영,14841290
,직업교육,0
,국제교육,0
,독서활동,7386650
,교기육성,0
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,85990190
,교무업무 운영,1632700
,생활지도 운영,2647710
,연구학교 운영,0
,학습지원실 운영,3952900
,교육여건 개선,77756880
학교 일반운영,학교 일반운영,147721790
,학교기관운영,32882130
,시설 장비 유지,114351270
,학교운영 협력,488390
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,1050000
,반환금,1050000
,예비비,0
세출합계,세출합계,361116459
