정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,24127860
,교직원보수,0
,기타 교직원 보수,259060
,교직원 복지 및 역량강화,23868800
학생복지/교육격차 해소,학생복지/교육격차 해소,745733310
,급식 관리,535186330
,기숙사 관리,0
,보건관리,104328480
,교육격차 해소,9057500
,학생복지,97161000
기본적 교육활동,기본적 교육활동,201137340
,교과 활동,146607640
,창의적 체험활동,54529700
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,275937400
,방과후학교 운영,185201050
,직업교육,0
,국제교육,0
,독서활동,23570570
,교기육성,24659570
,기타 선택적 교육활동,42506210
교육활동 지원,교육활동 지원,160418060
,교무업무 운영,10331550
,생활지도 운영,27612400
,연구학교 운영,39972150
,학습지원실 운영,48254330
,교육여건 개선,34247630
학교 일반운영,학교 일반운영,233988540
,학교기관운영,58401600
,시설 장비 유지,169664510
,학교운영 협력,5922430
학교시설 확충,학교시설 확충,38220000
,시설확충 및 개선,38220000
학교 재무활동,학교 재무활동,19239500
,반환금,19239500
,예비비,0
세출합계,세출합계,1698802010
