정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,4979010
,교직원보수,0
,기타 교직원 보수,326960
,교직원 복지 및 역량강화,4652050
학생복지/교육격차 해소,학생복지/교육격차 해소,59552890
,급식 관리,34388460
,기숙사 관리,0
,보건관리,15861870
,교육격차 해소,0
,학생복지,9302560
기본적 교육활동,기본적 교육활동,66976450
,교과 활동,12853570
,창의적 체험활동,54122880
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,63748600
,방과후학교 운영,55754510
,직업교육,0
,국제교육,0
,독서활동,7772090
,교기육성,222000
,기타 선택적 교육활동,0
교육활동 지원,교육활동 지원,114949290
,교무업무 운영,4880200
,생활지도 운영,10258770
,연구학교 운영,0
,학습지원실 운영,8483230
,교육여건 개선,91327090
학교 일반운영,학교 일반운영,92655730
,학교기관운영,21352620
,시설 장비 유지,70835610
,학교운영 협력,467500
학교시설 확충,학교시설 확충,0
,시설확충 및 개선,0
학교 재무활동,학교 재무활동,0
,반환금,0
,예비비,0
세출합계,세출합계,402861970
