정책단위사업,정책단위사업,금액
정책사업,단위사업,금액
인적자원 운용,인적자원 운용,36816560
,교직원보수,0
,기타 교직원 보수,24458700
,교직원 복지 및 역량강화,12357860
학생복지/교육격차 해소,학생복지/교육격차 해소,571650720
,급식 관리,410467890
,기숙사 관리,0
,보건관리,68054470
,교육격차 해소,840000
,학생복지,92288360
기본적 교육활동,기본적 교육활동,440120940
,교과 활동,342947270
,창의적 체험활동,97173670
,자유학기(년) 활동,0
선택적 교육활동,선택적 교육활동,449662970
,방과후학교 운영,348364520
,직업교육,0
,국제교육,0
,독서활동,18814830
,교기육성,79565080
,기타 선택적 교육활동,2918540
교육활동 지원,교육활동 지원,335992910
,교무업무 운영,115797780
,생활지도 운영,22592010
,연구학교 운영,0
,학습지원실 운영,25364160
,교육여건 개선,172238960
학교 일반운영,학교 일반운영,282849540
,학교기관운영,104913890
,시설 장비 유지,174899650
,학교운영 협력,3036000
학교시설 확충,학교시설 확충,38579770
,시설확충 및 개선,38579770
학교 재무활동,학교 재무활동,64399960
,반환금,64399960
,예비비,0
세출합계,세출합계,2220073370
